"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SEWINGY","SEWINGY_","SEWGFTC","SEWGFTC_","SEWINGMO","SEWI_GMO","SEWINGX","SEWINGX_","SEWING1","SEWING1_","SEWING2","SEWING2_","SEWING3","SEWING3_","SEWING4","SEWING4_","SEWING5","SEWING5_","SEWING6","SEWING6_","SEWING7","SEWING7_","SEWING8","SEWING8_","SEWING9","SEWING9_"
"20081",1817895,17,0,"1","400","D","2","D","11","D",41,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818065,25,0,"1","400","D","1","D","11","D",17,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818135,16,0,"1","410","D","1","D","11","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818135,17,0,"2","410","D","1","D","10","D",142,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818145,19,0,"1","400","D","1","D","12","D",163,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818145,20,0,"1","430","D","1","D","12","D",54,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818595,19,0,"1","400","D","1","D","10","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818595,20,0,"1","400","D","1","D","12","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819025,22,0,"1","420","D","1","D","12","D",3,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819695,23,0,"1","420","D","1","D","01","D",4,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819815,14,0,"1","400","D","1","D","11","D",120,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819825,21,0,"1","420","D","1","D","01","D",11,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819855,25,0,"1","420","D","1","D","12","D",13,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820015,15,0,"1","410","D","1","D","01","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820225,30,0,"1","420","D","1","D","12","D",3,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820605,22,0,"1","400","D","1","D","12","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820695,16,0,"1","400","D","1","D","12","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820705,25,0,"1","430","D","1","D","11","D",134,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820745,19,0,"1","430","D","1","D","01","D",2,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821485,28,0,"1","400","D","2","D","12","D",90,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821635,20,0,"1","400","D","1","D","10","D",32,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821635,21,0,"1","420","D","1","D","11","D",12,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821635,22,0,"1","400","D","1","D","12","D",14,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822225,23,0,"1","400","D","1","D","01","D",43,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822295,14,0,"2","410","D","2","D","12","D",42,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823025,15,0,"1","410","D","1","D","11","D",106,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823695,15,0,"1","420","D","1","D","12","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823875,30,0,"1","400","D","1","D","10","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823925,16,0,"1","430","D","2","D","02","D",35,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824185,14,0,"1","430","D","1","D","11","D",200,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824485,13,0,"1","410","D","1","D","01","D",6,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824565,41,0,"1","430","D","1","D","12","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824765,15,0,"1","420","D","1","D","02","D",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824885,15,0,"1","400","D","1","D","12","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824885,16,0,"1","400","D","1","D","01","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824885,17,0,"1","400","D","1","D","02","D",10,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825085,30,0,"1","410","D","1","D","01","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825085,31,0,"1","420","D","1","D","01","D",16,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825415,14,0,"1","400","D","1","D","10","D",100,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826165,14,0,"1","420","D","1","D","11","D",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826185,19,0,"1","410","D","1","D","12","D",469,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826365,21,0,"1","400","D","1","D","12","D",95,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
