"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20081",1824185,18,0,"1",197,"D",.,"A"
"20081",1824785,64,0,"1",.,"A",100,"D"
"20081",1826045,20,0,"1",.,"A",25,"D"
"20081",1827885,33,0,"1",.,"A",50,"D"
"20081",1829305,32,0,"1",.,"A",89,"D"
"20081",1832195,28,0,"1",356,"D",.,"A"
"20081",1833935,14,0,"1",.,"A",.,"A"
"20081",1838464,61,0,"1",.,"A",257,"D"
"20081",1843324,23,0,"1",.,"A",0,"D"
"20081",1843424,34,0,"1",.,"A",30,"D"
"20081",1843974,25,0,"1",240,"D",.,"A"
"20081",1844874,25,0,"1",.,"A",12,"D"
"20081",1845984,21,0,"1",140,"D",.,"A"
"20081",1846604,40,0,"1",280,"D",.,"A"
"20081",1851054,18,0,"1",.,"A",100,"D"
"20081",1851964,14,0,"1",.,"A",.,"A"
"20081",1859904,25,0,"1",.,"A",300,"D"
"20081",1860034,20,0,"1",.,"A",.,"A"
"20081",1862993,18,0,"1",.,"A",0,"D"
"20081",1864683,17,0,"1",.,"A",.,"A"
"20081",1864953,14,0,"1",.,"A",.,"A"
"20081",1866283,62,0,"1",.,"A",8,"D"
"20081",1867694,16,0,"1",.,"A",.,"A"
"20081",1867833,21,0,"1",.,"A",35,"D"
"20081",1867953,21,0,"1",385,"D",.,"A"
"20081",1868363,29,0,"1",.,"A",500,"D"
"20081",1868543,30,0,"1",.,"A",400,"D"
"20081",1870293,26,0,"1",91,"D",.,"A"
"20081",1870443,39,0,"1",.,"A",100,"D"
"20081",1871233,45,0,"1",.,"A",122,"D"
"20081",1871823,14,0,"1",.,"A",.,"A"
"20081",1871873,60,0,"1",.,"A",250,"D"
"20081",1875603,25,0,"1",.,"A",150,"D"
"20081",1876153,22,0,"1",75,"D",.,"A"
"20081",1878153,26,0,"1",.,"A",150,"D"
"20081",1878353,23,0,"1",.,"A",5,"D"
"20081",1879333,35,0,"1",.,"A",20,"D"
"20081",1879973,25,0,"1",.,"A",20,"D"
"20081",1880183,21,0,"1",.,"A",150,"D"
"20081",1880813,43,0,"1",.,"A",485,"D"
"20081",1881114,26,0,"1",900,"D",.,"A"
"20081",1882393,26,0,"1",.,"A",.,"A"
"20081",1883262,14,0,"1",.,"A",.,"A"
"20081",1883492,14,0,"1",.,"A",.,"A"
"20081",1884522,27,0,"1",90,"D",.,"A"
"20081",1884893,16,0,"1",210,"D",.,"A"
"20081",1885622,32,0,"1",60,"D",.,"A"
"20081",1886342,28,0,"1",125,"D",.,"A"
"20081",1887783,32,0,"1",5,"D",.,"A"
"20081",1888832,28,0,"1",390,"D",.,"A"
"20081",1889102,18,0,"1",540,"D",.,"A"
"20081",1889403,22,0,"1",.,"A",0,"D"
"20081",1889612,36,0,"1",.,"A",38,"D"
"20081",1891314,34,0,"1",.,"A",0,"D"
"20081",1891682,24,0,"1",800,"D",.,"A"
"20081",1891742,33,0,"1",.,"A",50,"D"
"20081",1892362,20,0,"1",.,"A",1050,"D"
"20081",1893732,22,0,"1",.,"A",130,"D"
"20081",1896882,16,0,"1",.,"A",54,"D"
"20081",1898842,44,0,"1",.,"A",.,"A"
"20081",1898962,25,0,"1",.,"A",100,"D"
"20081",1899553,34,0,"1",480,"D",.,"A"
"20081",1900182,23,0,"1",.,"A",.,"A"
"20081",1901642,42,0,"1",.,"A",406,"D"
"20081",1901943,37,0,"1",.,"A",300,"D"
"20081",1902662,30,0,"1",.,"A",0,"D"
"20081",1903472,14,0,"1",.,"A",.,"A"
"20081",1903592,24,0,"1",.,"A",26,"D"
"20081",1903812,28,0,"1",288,"D",.,"A"
"20081",1903902,28,0,"1",570,"D",.,"A"
"20081",1905442,24,0,"1",.,"A",0,"D"
"20082",1842035,17,0,"1",.,"A",343,"F"
"20082",1842785,30,0,"1",.,"A",75,"D"
"20082",1843075,23,0,"1",0,"D",.,"A"
"20082",1843425,25,0,"1",.,"A",50,"D"
"20082",1843715,26,0,"1",.,"A",80,"D"
"20082",1843975,20,0,"1",600,"D",.,"A"
"20082",1846605,44,0,"1",360,"D",.,"A"
"20082",1849095,28,0,"1",.,"A",600,"D"
"20082",1851105,21,0,"1",.,"A",111,"D"
"20082",1851845,24,0,"1",.,"A",136,"D"
"20082",1854105,27,0,"1",.,"A",100,"D"
"20082",1858715,30,0,"1",.,"A",7,"D"
"20082",1861734,22,0,"1",.,"A",30,"D"
"20082",1863404,14,0,"1",.,"A",.,"A"
"20082",1863434,26,0,"1",.,"A",141,"D"
"20082",1864614,17,0,"1",.,"A",.,"A"
"20082",1864684,19,0,"1",.,"A",.,"A"
"20082",1865944,25,0,"1",.,"A",270,"D"
"20082",1866014,25,0,"1",.,"A",15,"D"
"20082",1866484,19,0,"1",.,"A",600,"D"
"20082",1866644,33,0,"1",.,"A",21,"D"
"20082",1866884,26,0,"1",.,"A",800,"D"
"20082",1867695,20,0,"1",.,"A",.,"A"
"20082",1870244,25,0,"1",.,"A",320,"D"
"20082",1870294,23,0,"1",70,"D",.,"A"
"20082",1870564,17,0,"1",.,"A",.,"A"
"20082",1871794,33,0,"1",.,"A",1000,"D"
"20082",1871934,18,0,"1",450,"D",.,"A"
"20082",1873284,17,0,"1",.,"A",370,"D"
"20082",1873934,30,0,"1",720,"D",.,"A"
"20082",1874504,19,0,"1",.,"A",1300,"D"
"20082",1874884,27,0,"1",.,"A",78,"D"
"20082",1875664,24,0,"1",.,"A",0,"D"
"20082",1880384,15,0,"1",0,"D",.,"A"
"20082",1882394,18,0,"1",.,"A",.,"A"
"20082",1883493,16,0,"1",.,"A",.,"A"
"20082",1885205,20,0,"1",.,"A",.,"A"
"20082",1886273,29,0,"1",.,"A",25,"D"
"20082",1886413,18,0,"1",.,"A",50,"D"
"20082",1886623,30,0,"1",.,"A",450,"D"
"20082",1887083,16,0,"1",0,"D",.,"A"
"20082",1887303,14,0,"1",.,"A",.,"A"
"20082",1887793,38,0,"1",.,"A",0,"D"
"20082",1888483,26,0,"1",300,"D",.,"A"
