"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20081",1817745,43,0,"5","01","D","100","D","1","D",.075,"D",469,"F",1331,"F","01","D",25000,"F"
"20081",1817875,48,0,"5","01","D","100","D","1","D",.075,"D",4,"D",204,"D","01","D",208,"D"
"20081",1818065,57,0,"5","01","D","100","D","1","D",.075,"D",300,"D",783,"D","01","D",16000,"D"
"20081",1818075,43,0,"5","01","D","100","D","1","D",.075,"D",675,"F",825,"F","01","D",36000,"F"
"20081",1818215,62,0,"5","01","D","100","D","1","D",.075,"D",469,"D",722,"D","01","D",25000,"D"
"20081",1818255,51,0,"5","01","D","100","D","1","D",.075,"D",394,"D",456,"D","01","D",21000,"D"
"20081",1818325,44,0,"5","01","D","100","D","1","D",.075,"D",2063,"D",1537,"D","01","D",110000,"D"
"20081",1818465,87,0,"5","01","D","100","D","1","D",.075,"D",2981,"D",1519,"D","02","D",159000,"D"
"20081",1818465,88,0,"5","01","D","100","D","2","D",.075,"D",.,"A",.,"A","01","D",158429,"D"
"20081",1818625,63,0,"5","01","D","100","D","1","D",.075,"D",600,"D",800,"D","01","D",32000,"D"
"20081",1818775,59,0,"5","01","D","100","D","2","D",.075,"D",488,"F",4512,"F","01","D",26000,"F"
"20081",1818855,86,0,"5","01","D","100","D","1","D",.075,"D",55,"D",4945,"D","01","D",2940,"D"
"20081",1818995,41,0,"5","01","D","100","D","1","D",.075,"D",1031,"D",769,"D","01","D",55000,"D"
"20081",1819095,42,0,"5","01","D","100","D","1","D",.075,"D",375,"D",2625,"D","01","D",20000,"D"
"20081",1819315,53,0,"5","01","D","100","D","1","D",.075,"D",197,"D",854,"D","01","D",10500,"D"
"20081",1819615,51,0,"5","01","D","100","D","1","D",.075,"D",431,"D",109,"D","01","D",23000,"D"
"20081",1819985,42,0,"5","01","D","100","D","1","D",.075,"D",20,"D",675,"D","01","D",1090,"D"
"20081",1820055,30,0,"5","01","D","100","D","1","D",.075,"D",2063,"D",-563,"D","01","D",110000,"D"
"20081",1820065,52,0,"5","01","D","100","D","1","D",.075,"D",106,"D",144,"D","01","D",5640,"D"
"20081",1820225,65,0,"5","01","D","100","D","1","D",.075,"D",300,"D",600,"D","01","D",16000,"D"
"20081",1820345,73,0,"5","01","D","100","D","1","D",.075,"D",254,"D",628,"D","01","D",13550,"D"
"20081",1820475,51,0,"5","01","D","100","D","1","D",.075,"D",300,"F",69,"F","01","D",16000,"F"
"20081",1820675,36,0,"5","01","D","100","D","1","D",.075,"D",47,"D",1053,"D","01","D",2500,"D"
"20081",1820705,60,0,"5","01","D","100","D","1","D",.075,"D",225,"D",525,"D","01","D",12000,"D"
"20081",1821165,38,0,"5","01","D","100","D","2","D",.075,"D",.,"A",.,"A","01","D",0,"D"
"20081",1821465,53,0,"5","01","D","100","D","1","D",.075,"D",1313,"D",2548,"D","01","D",70000,"D"
"20081",1822005,63,0,"5","01","D","100","D","1","D",.075,"D",1313,"F",1687,"F","01","D",70000,"F"
"20081",1822205,36,0,"5","01","D","100","D","2","D",.075,"D",.,"A",.,"A","01","D",0,"D"
"20081",1822385,73,0,"5","01","D","100","D","1","D",.075,"D",133,"D",330,"D","01","D",7100,"D"
"20081",1822505,42,0,"5","01","D","100","D","1","D",.075,"D",1106,"F",29729,"V","01","D",59000,"F"
"20081",1822595,44,0,"5","01","D","100","D","1","D",.075,"D",133,"F",330,"F","01","D",7100,"F"
"20081",1822645,46,0,"5","01","D","100","D","1","D",.075,"D",788,"D",412,"D","01","D",42000,"D"
"20081",1822855,37,0,"5","01","D","100","D","1","D",.075,"D",263,"D",3737,"D","01","D",14000,"D"
"20081",1823525,63,0,"5","01","D","100","D","1","D",.075,"D",1481,"D",19,"D","01","D",79000,"D"
"20081",1823675,43,0,"5","01","D","100","D","1","D",.075,"D",150,"F",1050,"F","01","D",8000,"F"
"20081",1823855,46,0,"5","01","D","100","D","1","D",.075,"D",178,"D",332,"D","01","D",9500,"D"
