"NEWID","CUID","RBTMO","RBTMO_","RBTAMT","RBTAMT_","CHCKEFT","CHCKEFT_","HOWUSED","HOWUSED_","USDINTMO","USDINTYR"
1838585,183858,"06","D",900,"D","2","D","2","D","06","2008"
1838725,183872,"04","D",1200,"D","2","D","2","D","06","2008"
1839135,183913,"05","D",1200,"D","2","D","1","D","06","2008"
1839205,183920,"05","D",1200,"D","2","D","1","D","06","2008"
1839295,183929,"06","D",600,"D","1","D","3","D","06","2008"
1839295,183929,"06","D",600,"D","1","D","3","D","06","2008"
1839375,183937,"06","D",600,"D","2","D","1","D","06","2008"
1839415,183941,"06","D",1200,"D","1","D","3","D","06","2008"
1839445,183944,"05","D",900,"D","1","D","1","D","06","2008"
1839535,183953,"04","D",1200,"D","2","D","1","D","06","2008"
1839545,183954,"06","D",1800,"D","1","D","2","D","06","2008"
1839595,183959,"05","D",600,"D","2","D","3","D","06","2008"
1839615,183961,"05","D",1500,"D","2","D","1","D","06","2008"
1839815,183981,"05","D",300,"D","2","D","2","D","06","2008"
1839815,183981,"06","D",600,"D","1","D","2","D","06","2008"
1839855,183985,"05","D",1200,"D","2","D","3","D","06","2008"
1839875,183987,"05","D",600,"D","1","D","1","D","06","2008"
1839955,183995,"05","D",300,"D","2","D","3","D","06","2008"
1840045,184004,"04","D",600,"D","2","D","1","D","06","2008"
1840125,184012,"05","D",600,"D","1","D","3","D","06","2008"
1840355,184035,"05","D",600,"D","1","D","2","D","06","2008"
1840375,184037,"06","D",600,"D","1","D","3","D","06","2008"
1840465,184046,"05","D",1200,"D","2","D","1","D","06","2008"
1840495,184049,"04","D",1800,"D","2","D","1","D","06","2008"
1840545,184054,"06","D",600,"D","1","D","2","D","06","2008"
1840545,184054,"06","D",600,"D","1","D","2","D","06","2008"
1840665,184066,"05","D",300,"D","2","D","3","D","06","2008"
1840735,184073,"04","D",1200,"D","2","D","2","D","06","2008"
1840815,184081,"05","D",1500,"D","2","D","2","D","06","2008"
1841165,184116,"06","D",600,"D","2","D","1","D","06","2008"
1841425,184142,"04","D",1800,"D","2","D","1","D","06","2008"
1841615,184161,"05","D",1200,"D","2","D","2","D","06","2008"
1841765,184176,"05","D",600,"D","1","D","3","D","06","2008"
1841895,184189,"05","D",600,"D","1","D","3","D","06","2008"
1841935,184193,"05","D",1500,"D","2","D","3","D","06","2008"
1842145,184214,"06","D",1200,"D","1","D",,"C","06","2008"
1842215,184221,"05","D",1200,"D","2","D","3","D","06","2008"
1842495,184249,"05","D",1200,"D","1","D","3","D","06","2008"
1842505,184250,"05","D",2400,"D","2","D","3","D","06","2008"
1842715,184271,"05","D",600,"D","2","D","2","D","06","2008"
1842875,184287,"04","D",600,"D","2","D","3","D","06","2008"
1842875,184287,"04","D",600,"D","2","D","3","D","06","2008"
1842975,184297,"05","D",1200,"D","2","D","2","D","06","2008"
1843045,184304,"05","D",600,"D","1","D","2","D","06","2008"
1843055,184305,"05","D",1200,"D","2","D","3","D","06","2008"
1843055,184305,"06","D",300,"D","1","D","3","D","06","2008"
1843085,184308,"05","D",600,"D","2","D","3","D","06","2008"
1843085,184308,"05","D",600,"D","2","D","3","D","06","2008"
