"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20081",1818855,92,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1819475,55,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1822555,81,0,"1","100","D",.,"A",290,"D","2","D"
"20081",1822805,53,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1823375,34,0,"1","110","D",.,"A",80,"D","2","D"
"20081",1824185,47,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1825085,59,0,"1","100","D",.,"A",80,"D","2","D"
"20081",1825245,63,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1825245,64,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1826115,28,0,"1","100","D",.,"A",204,"D","2","D"
"20081",1829855,52,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1830195,65,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1831435,50,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1834565,43,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1834985,54,0,"1","110","D",.,"A",75,"D","2","D"
"20081",1836345,31,0,"1","100","D",.,"A",980,"D","2","D"
"20081",1837795,62,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1838185,92,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1838684,45,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1838694,60,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1839935,54,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1840674,65,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1840674,66,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1841484,67,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1841794,47,0,"1","100","D",.,"A",75,"D","2","D"
"20081",1842604,64,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1842784,55,0,"1","110","D",.,"A",94,"D","2","D"
"20081",1843434,42,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1843884,49,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1844184,48,0,"1","100","D",.,"A",35,"D","2","D"
"20081",1844424,58,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1845114,43,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1845194,70,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1845775,31,0,"1","100","D",.,"A",200,"D","2","D"
"20081",1847334,50,0,"1","140","D",.,"A",.,"A","1","D"
"20081",1849584,41,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1849594,45,0,"1","110","D",.,"A",250,"D","2","D"
"20081",1850024,39,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1850394,61,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1850864,49,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1852394,37,0,"1","110","D",.,"A",1,"D","2","D"
"20081",1852535,69,0,"1","100","D",.,"A",100,"D","2","D"
"20081",1853254,56,0,"1","110","D",.,"A",1020,"D","2","D"
"20081",1853484,51,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1853964,67,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1854104,44,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1854104,45,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1854364,26,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1855274,63,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1855274,64,0,"1","100","D",.,"A",33,"D","2","D"
"20081",1856744,31,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1857435,37,0,"1","100","D",.,"A",1200,"D","2","D"
"20081",1858524,75,0,"1","100","D",1,"D",0,"D","2","D"
"20081",1859324,60,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1859824,104,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1859824,105,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1859824,106,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1859824,107,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1860464,47,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1861333,63,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1862673,57,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1862993,55,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1863253,57,0,"1","100","D",.,"A",81,"D","2","D"
"20081",1863253,58,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1863493,39,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1864644,34,0,"1","100","D",.,"A",2400,"D","2","D"
"20081",1866374,45,0,"1","180","D",.,"A",78,"D","2","D"
"20081",1866513,58,0,"1","100","D",.,"A",71,"D","2","D"
"20081",1867364,48,0,"1","100","D",.,"A",598,"D","2","D"
"20081",1867623,22,0,"1","100","D",.,"A",30,"D","2","D"
"20081",1868123,43,0,"1","100","D",.,"A",85,"D","2","D"
"20081",1869003,47,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1869383,53,0,"1","110","D",.,"A",100,"D","2","D"
"20081",1869943,39,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1870303,55,0,"1","100","D",.,"A",26,"D","2","D"
"20081",1870903,58,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1871103,47,0,"1","100","D",.,"A",60,"D","2","D"
"20081",1871703,45,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1871703,46,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1871813,59,0,"1","100","D",.,"A",50,"D","2","D"
"20081",1872673,59,0,"1","100","D",.,"A",1450,"D","2","D"
"20081",1873613,61,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1874053,34,0,"1","110","D",.,"A",.,"A","1","D"
"20081",1874833,28,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1875693,34,0,"1","100","D",.,"A",44,"D","2","D"
"20081",1875733,63,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1876253,34,0,"1","100","D",.,"A",127,"D","2","D"
"20081",1876994,26,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1877423,48,0,"1","100","D",.,"A",67,"D","2","D"
"20081",1877843,48,0,"1","100","D",.,"A",27,"D","2","D"
"20081",1879493,61,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1879493,62,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1879623,55,0,"1","100","D",.,"A",30,"D","2","D"
"20081",1879973,52,0,"1","200","D",.,"A",.,"A","1","D"
"20081",1880265,27,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1881163,32,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1881274,36,0,"1","180","D",.,"A",35,"D","2","D"
"20081",1882065,31,0,"1","100","D",.,"A",290,"D","2","D"
"20081",1882693,58,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1883354,30,0,"1","200","D",.,"A",75,"D","2","D"
"20081",1883422,73,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1883464,30,0,"1","180","D",.,"A",.,"A","1","D"
"20081",1883642,51,0,"1","110","D",.,"A",180,"D","2","D"
"20081",1884743,37,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1884955,46,0,"1","200","D",.,"A",100,"D","2","D"
"20081",1885622,65,0,"1","100","D",.95,"D",3,"D","2","D"
"20081",1885922,52,0,"1","110","D",.,"A",375,"D","2","D"
"20081",1886412,33,0,"1","100","D",.,"A",70,"D","2","D"
"20081",1886482,43,0,"1","100","D",.,"A",1208,"D","2","D"
"20081",1887362,85,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1887572,33,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1887572,34,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1890385,35,0,"1","100","D",.,"A",.,"A","1","D"
"20081",1890503,29,0,"1","100","D",.,"A",240,"D","2","D"
