"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","PRPYCELL","PRPY_ELL","QPRP3MCX","QPRP_MCX"
"20081",1817925,53,0,"1",18,"D",.,"A","2","D",.,"A"
"20081",1818315,65,0,"1",25,"D",.,"A","2","D",.,"A"
"20081",1818405,42,0,"1",60,"D",.,"A","2","D",.,"A"
"20081",1819035,50,0,"1",.,"A",.,"A","1","D",100,"D"
"20081",1819725,59,0,"1",63,"D",.,"A","2","D",.,"A"
"20081",1819755,37,0,"1",.,"A",.,"A","1","D",300,"D"
"20081",1819785,72,0,"1",.,"A",.,"A","1","D",65,"D"
"20081",1820035,47,0,"1",.,"A",.,"A","1","D",25,"D"
"20081",1820375,43,0,"1",95,"D",.,"A","2","D",.,"A"
"20081",1820515,49,0,"1",40,"D",.,"A","2","D",.,"A"
"20081",1820585,27,0,"1",60,"D",.,"A","2","D",.,"A"
"20081",1821275,44,0,"1",15,"D",.,"A","1","D",10,"D"
"20081",1821415,91,0,"1",100,"D",.,"A","2","D",.,"A"
"20081",1821525,93,0,"1",120,"D",.,"A","2","D",.,"A"
"20081",1821565,98,0,"1",4,"D",.,"A","2","D",.,"A"
"20081",1821685,74,0,"1",200,"D",.,"A","2","D",.,"A"
"20081",1821755,32,0,"1",25,"D",.,"A","2","D",.,"A"
"20081",1821875,62,0,"1",54,"D",.,"A","2","D",.,"A"
"20081",1822355,65,0,"1",30,"D",.,"A","2","D",.,"A"
"20081",1822555,87,0,"1",50,"D",2,"D","2","D",.,"A"
"20081",1822925,77,0,"1",.,"A",.,"A","1","D",50,"D"
"20081",1823035,44,0,"1",40,"D",.,"A","2","D",.,"A"
"20081",1823355,41,0,"1",40,"D",.,"A","2","D",.,"A"
"20081",1823375,42,0,"1",120,"D",.,"A","2","D",.,"A"
"20081",1823645,45,0,"1",55,"D",.,"A","2","D",.,"A"
"20081",1823825,41,0,"1",20,"D",.,"A","2","D",.,"A"
"20081",1823855,61,0,"1",.,"A",.,"A","1","D",15,"D"
"20081",1823965,53,0,"1",54,"D",.,"A","2","D",.,"A"
"20081",1823985,87,0,"1",70,"D",.,"A","2","D",.,"A"
"20081",1824035,67,0,"1",100,"D",.,"A","2","D",.,"A"
"20081",1824125,53,0,"1",20,"D",.,"A","2","D",.,"A"
"20081",1824225,67,0,"1",.,"A",.,"A","1","D",32,"D"
"20081",1824705,46,0,"1",.,"A",.,"A","1","D",0,"D"
"20081",1825035,55,0,"1",40,"D",.,"A","2","D",.,"A"
"20081",1825085,65,0,"1",270,"D",.,"A","2","D",.,"A"
"20081",1825295,47,0,"1",20,"D",.,"A","2","D",.,"A"
"20081",1825665,29,0,"1",220,"D",.,"A","2","D",.,"A"
"20081",1825955,41,0,"1",75,"D",.,"A","2","D",.,"A"
"20081",1826345,33,0,"1",.,"A",.,"A","1","D",300,"D"
"20081",1826365,77,0,"1",133,"D",.,"A","2","D",.,"A"
