"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20081",1817705,69,0,"1","410","D","12","D",15,"D","","A","","A","","A","","A"
"20081",1817735,39,0,"1","420","D","02","D",59,"D","","A","","A","","A","","A"
"20081",1817735,40,0,"1","410","D","02","D",15,"D","","A","","A","","A","","A"
"20081",1817735,41,0,"2","420","D","12","D",70,"D","","A","","A","","A","","A"
"20081",1817805,54,0,"1","420","D","02","D",121,"D","","A","","A","","A","","A"
"20081",1817885,55,0,"1","420","D","12","D",100,"D","","A","","A","","A","","A"
"20081",1818005,53,0,"2","410","D","12","D",13,"D","","A","","A","","A","","A"
"20081",1818065,77,0,"1","400","D","11","D",26,"D","","A","","A","","A","","A"
"20081",1818185,51,0,"1","420","D","12","D",192,"D","","A","","A","","A","","A"
"20081",1818205,64,0,"1","420","D","11","D",120,"D","","A","","A","","A","","A"
"20081",1818215,83,0,"1","420","D","12","D",70,"D","","A","","A","","A","","A"
"20081",1818255,74,0,"1","420","D","02","D",25,"D","","A","","A","","A","","A"
"20081",1818255,75,0,"1","420","D","01","D",75,"D","","A","","A","","A","","A"
"20081",1818255,76,0,"1","420","D","02","D",75,"D","","A","","A","","A","","A"
"20081",1818285,68,0,"1","400","D","01","D",50,"D","","A","","A","","A","","A"
"20081",1818315,67,0,"1","420","D","12","D",100,"D","","A","","A","","A","","A"
"20081",1818315,68,0,"1","420","D","01","D",29,"D","","A","","A","","A","","A"
"20081",1818325,62,0,"1","420","D","01","D",150,"D","","A","","A","","A","","A"
"20081",1818325,63,0,"2","420","D","12","D",141,"D","","A","","A","","A","","A"
"20081",1818345,42,0,"1","420","D","11","D",21,"D","","A","","A","","A","","A"
"20081",1818375,66,0,"1","420","D","11","D",85,"D","","A","","A","","A","","A"
"20081",1818445,68,0,"1","400","D","01","D",13,"D","","A","","A","","A","","A"
"20081",1818465,107,0,"1","420","D","01","D",399,"D","","A","","A","","A","","A"
"20081",1818465,108,0,"1","400","D","01","D",28,"D","","A","","A","","A","","A"
"20081",1818555,26,0,"1","420","D","11","D",400,"D","","A","","A","","A","","A"
"20081",1818575,41,0,"1","420","D","12","D",120,"D","","A","","A","","A","","A"
"20081",1818735,36,0,"1","420","D","02","D",43,"D","","A","","A","","A","","A"
"20081",1818775,84,0,"1","420","D","01","D",100,"D","","A","","A","","A","","A"
"20081",1818995,62,0,"1","410","D","01","D",21,"D","","A","","A","","A","","A"
"20081",1818995,63,0,"2","420","D","12","D",75,"D","","A","","A","","A","","A"
"20081",1819015,43,0,"1","420","D","01","D",81,"D","","A","","A","","A","","A"
"20081",1819035,52,0,"1","420","D","02","D",110,"D","","A","","A","","A","","A"
"20081",1819035,53,0,"2","420","D","12","D",84,"D","","A","","A","","A","","A"
"20081",1819125,96,0,"1","410","D","12","D",35,"D","","A","","A","","A","","A"
"20081",1819125,97,0,"1","410","D","12","D",35,"D","","A","","A","","A","","A"
"20081",1819125,98,0,"2","400","D","11","D",30,"D","","A","","A","","A","","A"
"20081",1819155,50,0,"2","420","D","12","D",42,"D","","A","","A","","A","","A"
"20081",1819205,50,0,"1","420","D","11","D",61,"D","","A","","A","","A","","A"
"20081",1819255,35,0,"1","420","D","02","D",78,"D","","A","","A","","A","","A"
"20081",1819315,75,0,"1","420","D","11","D",215,"D","","A","","A","","A","","A"
