"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20091",1905785,25,0,"1",.,"A",.,"A",.,"A",125,"D",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A"
"20091",1905815,17,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",35,"D",.,"A",.,"A",12,"D",.,"A"
"20091",1905855,25,0,"1",395,"D",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",55,"D",.,"A",.,"A",.,"A"
"20091",1905865,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1905875,19,0,"1",.,"A",.,"A",154,"D",.,"A",.,"A",.,"A",30,"D",28,"D",.,"A",.,"A",8,"D"
"20091",1905885,14,0,"1",.,"A",.,"A",25,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20091",1905905,21,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",40,"D",30,"D",.,"A",.,"A",7,"D"
"20091",1905935,24,0,"1",.,"A",82,"D",100,"D",25,"D",.,"A",.,"A",40,"D",63,"D",.,"A",.,"A",.,"A"
"20091",1905955,25,0,"1",.,"A",.,"A",.,"A",18,"D",.,"A",100,"D",10,"D",.,"A",.,"A",.,"A",.,"A"
"20091",1905965,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A",10,"D",.,"A"
"20091",1906035,34,0,"1",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",62,"D",7,"D"
