"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR1","CRED_TR1","CREDITX1","CRED_TX1"
"20091",1905765,14,0,"4","700","D",400,"D"
"20091",1905775,14,0,"4","130","D",15000,"F"
"20091",1905785,27,0,"4","130","D",11000,"D"
"20091",1905795,18,0,"4","130","D",230,"D"
"20091",1905865,20,0,"4","130","D",1500,"D"
"20091",1905865,21,0,"4","130","D",8000,"D"
"20091",1905935,25,0,"4","800","D",6500,"D"
"20091",1906035,35,0,"4","130","D",16000,"D"
"20091",1906055,28,0,"4","800","D",9000,"D"
"20091",1906085,37,0,"4","120","D",1400,"D"
"20091",1906085,38,0,"4","130","D",1500,"D"
"20091",1906085,39,0,"4","130","D",2500,"D"
"20091",1906085,40,0,"4","130","D",1875,"D"
"20091",1906085,41,0,"4","700","D",6000,"D"
"20091",1906115,18,0,"4","120","D",1200,"D"
"20091",1906115,19,0,"4","130","D",2300,"D"
"20091",1906125,32,0,"4","120","D",40,"D"
"20091",1906125,33,0,"4","120","D",400,"D"
"20091",1906125,34,0,"4","120","D",100,"D"
"20091",1906125,35,0,"4","130","D",18000,"D"
"20091",1906125,36,0,"4","700","D",450,"D"
"20091",1906155,16,0,"4","130","D",1500,"D"
"20091",1906155,17,0,"4","130","D",2000,"D"
"20091",1906165,22,0,"4","120","D",200,"D"
"20091",1906165,23,0,"4","510","D",7500,"D"
"20091",1906195,24,0,"4","700","D",920,"D"
"20091",1906195,25,0,"4","800","D",3500,"D"
"20091",1906225,27,0,"4","130","D",3197,"D"
"20091",1906225,28,0,"4","800","D",68464,"D"
"20091",1906245,26,0,"4","130","D",30,"D"
"20091",1906275,29,0,"4","120","D",1500,"D"
"20091",1906315,24,0,"4","130","D",4800,"D"
"20091",1906315,25,0,"4","130","D",2800,"D"
"20091",1906315,26,0,"4","200","D",285,"D"
"20091",1906315,27,0,"4","700","D",195,"D"
"20091",1906315,28,0,"4","800","D",19000,"D"
"20091",1906325,17,0,"4","200","D",1200,"D"
"20091",1906325,18,0,"4","200","D",1000,"D"
"20091",1906325,19,0,"4","200","D",400,"D"
"20091",1906325,20,0,"4","800","D",4500,"D"
"20091",1906385,26,0,"4","110","D",1800,"D"
"20091",1906385,27,0,"4","120","D",3000,"D"
"20091",1906385,28,0,"4","130","D",14000,"D"
"20091",1906385,29,0,"4","700","D",6000,"D"
"20091",1906525,16,0,"4","130","D",3000,"D"
"20091",1906525,17,0,"4","130","D",1000,"D"
"20091",1906525,18,0,"4","120","D",800,"D"
"20091",1906525,19,0,"4","120","D",500,"D"
"20091",1906555,26,0,"4","110","D",60,"D"
"20091",1906575,33,0,"4","120","D",14,"D"
"20091",1906575,34,0,"4","130","D",10000,"D"
"20091",1906575,35,0,"4","130","D",2200,"D"
"20091",1906575,36,0,"4","130","D",400,"D"
"20091",1906575,37,0,"4","120","D",400,"D"
"20091",1906585,17,0,"4","130","D",10000,"D"
"20091",1906595,16,0,"4","110","D",1200,"D"
"20091",1906595,17,0,"4","130","D",5000,"D"
"20091",1906595,18,0,"4","700","D",178,"D"
"20091",1906755,19,0,"4","130","D",2500,"F"
"20091",1906755,20,0,"4","130","D",400,"F"
"20091",1906775,20,0,"4","130","D",20,"D"
"20091",1906895,28,0,"4","130","D",2100,"D"
"20091",1906895,29,0,"4","200","D",200,"D"
"20091",1906895,30,0,"4","700","D",1400,"D"
"20091",1906895,31,0,"4","800","D",11000,"D"
"20091",1906925,25,0,"4","130","D",6000,"D"
"20091",1906925,26,0,"4","700","D",200,"D"
"20091",1906925,27,0,"4","800","D",8000,"D"
"20091",1906945,31,0,"4","130","D",30000,"D"
"20091",1906985,18,0,"4","800","D",12000,"D"
"20091",1907015,21,0,"4","120","D",150,"D"
"20091",1907015,22,0,"4","120","D",300,"D"
"20091",1907015,23,0,"4","130","D",10000,"D"
"20091",1907125,24,0,"4","130","D",6000,"D"
"20091",1907125,25,0,"4","130","D",500,"D"
"20091",1907125,26,0,"4","130","D",10,"D"
"20091",1907125,27,0,"4","130","D",600,"D"
"20091",1907125,28,0,"4","130","D",8000,"D"
"20091",1907175,27,0,"4","130","D",5500,"D"
"20091",1907185,29,0,"4","130","D",7825,"D"
"20091",1907185,30,0,"4","130","D",11163,"D"
"20091",1907185,31,0,"4","130","D",450,"D"
"20091",1907185,32,0,"4","130","D",7000,"D"
"20091",1907255,20,0,"4","120","D",180,"D"
"20091",1907255,21,0,"4","120","D",1000,"D"
"20091",1907255,22,0,"4","130","D",750,"D"
"20091",1907345,30,0,"4","200","D",3400,"D"
"20091",1907345,31,0,"4","130","D",500,"D"
"20091",1907375,29,0,"4","130","D",3000,"D"
"20091",1907385,20,0,"4","130","D",1300,"D"
"20091",1907385,21,0,"4","130","D",500,"D"
"20091",1907385,22,0,"4","130","D",1900,"D"
"20091",1907385,23,0,"4","130","D",800,"D"
"20091",1907385,24,0,"4","120","D",550,"D"
"20091",1907445,38,0,"4","130","D",200,"D"
"20091",1907445,39,0,"4","130","D",3500,"D"
"20091",1907445,40,0,"4","130","D",3500,"D"
"20091",1907445,41,0,"4","130","D",10000,"D"
"20091",1907445,42,0,"4","120","D",494,"D"
"20091",1907455,21,0,"4","700","D",4000,"D"
"20091",1907465,27,0,"4","130","D",4000,"D"
"20091",1907465,28,0,"4","130","D",100,"D"
"20091",1907465,29,0,"4","800","D",30000,"D"
"20091",1907545,33,0,"4","800","D",2886,"D"
"20091",1907555,26,0,"4","130","D",22,"D"
"20091",1907595,17,0,"4","120","D",2200,"D"
"20091",1907595,18,0,"4","130","D",8000,"D"
"20091",1907605,17,0,"4","130","D",500,"D"
"20091",1907625,23,0,"4","120","D",90,"D"
"20091",1907625,24,0,"4","130","D",1200,"D"
"20091",1907635,20,0,"4","130","D",500,"D"
"20091",1907635,21,0,"4","130","D",1000,"D"
"20091",1907645,29,0,"4","120","D",1500,"D"
"20091",1907645,30,0,"4","130","D",15000,"D"
"20091",1907645,31,0,"4","130","D",4000,"D"
"20091",1907745,22,0,"4","130","D",1800,"D"
"20091",1907805,18,0,"4","130","D",15000,"D"
"20091",1907815,26,0,"4","130","D",3000,"D"
"20091",1907825,18,0,"4","110","D",130,"D"
"20091",1907855,19,0,"4","130","D",6500,"D"
"20091",1907865,15,0,"4","130","D",350,"D"
"20091",1908005,24,0,"4","130","D",300,"D"
"20091",1908005,25,0,"4","130","D",250,"D"
"20091",1908025,28,0,"4","120","D",250,"D"
"20091",1908025,29,0,"4","130","D",3000,"D"
"20091",1908025,30,0,"4","700","D",220,"D"
"20091",1908055,20,0,"4","130","D",2500,"D"
"20091",1908075,16,0,"4","130","D",1700,"D"
"20091",1908085,28,0,"4","130","D",40000,"D"
"20091",1908115,24,0,"4","200","D",1000,"D"
"20091",1908185,26,0,"4","130","D",15000,"D"
"20091",1908195,23,0,"4","120","D",2400,"F"
"20091",1908195,24,0,"4","130","D",9000,"F"
"20091",1908205,22,0,"4","800","D",4000,"D"
"20091",1908235,23,0,"4","130","D",10000,"D"
"20091",1908275,39,0,"4","130","D",700,"D"
"20091",1908315,21,0,"4","130","D",12000,"D"
"20091",1908315,22,0,"4","130","D",8000,"D"
"20091",1908315,23,0,"4","130","D",8000,"D"
"20091",1908355,23,0,"4","130","D",96000,"D"
"20091",1908355,24,0,"4","120","D",1500,"D"
"20091",1908355,25,0,"4","120","D",3400,"D"
"20091",1908375,22,0,"4","130","D",600,"D"
"20091",1908455,19,0,"4","130","D",5000,"D"
"20091",1908515,42,0,"4","130","D",5000,"D"
"20091",1908535,20,0,"4","130","D",7000,"D"
"20091",1908535,21,0,"4","130","D",10000,"D"
"20091",1908535,22,0,"4","130","D",4000,"D"
"20091",1908535,23,0,"4","130","D",7000,"D"
"20091",1908535,24,0,"4","130","D",10000,"D"
"20091",1908535,25,0,"4","130","D",5600,"D"
"20091",1908605,15,0,"4","120","D",500,"D"
"20091",1908605,16,0,"4","130","D",2000,"D"
"20091",1908615,33,0,"4","130","D",4500,"D"
"20091",1908615,34,0,"4","700","D",150,"D"
"20091",1908615,35,0,"4","120","D",400,"D"
"20091",1908655,26,0,"4","130","D",10000,"D"
"20091",1908745,17,0,"4","130","D",285,"D"
"20091",1908755,17,0,"4","130","D",200,"D"
"20091",1908755,18,0,"4","130","D",350,"D"
"20091",1908755,19,0,"4","200","D",3000,"D"
"20091",1908755,20,0,"4","700","D",1800,"F"
"20091",1908775,18,0,"4","120","D",300,"D"
"20091",1908775,19,0,"4","120","D",770,"D"
"20091",1908775,20,0,"4","130","D",6200,"D"
"20091",1908775,21,0,"4","130","D",4900,"D"
"20091",1908775,22,0,"4","130","D",4850,"D"
"20091",1908775,23,0,"4","130","D",1100,"D"
"20091",1908815,25,0,"4","130","D",200,"D"
"20091",1908845,21,0,"4","130","D",500,"D"
"20091",1908845,22,0,"4","800","D",912,"D"
"20091",1908875,17,0,"4","130","D",29000,"D"
"20091",1908895,16,0,"4","130","D",89,"D"
"20091",1908905,19,0,"4","130","D",1900,"D"
"20091",1908905,20,0,"4","120","D",300,"D"
"20091",1908905,21,0,"4","120","D",1400,"D"
"20091",1908915,28,0,"4","130","D",2000,"D"
"20091",1908915,29,0,"4","130","D",1000,"D"
"20091",1908955,18,0,"4","130","D",4500,"D"
"20091",1909075,31,0,"4","510","D",4600,"D"
"20091",1909105,21,0,"4","130","D",10250,"D"
"20091",1909165,14,0,"4","130","D",300,"D"
"20091",1909225,16,0,"4","130","D",35000,"D"
"20091",1909255,18,0,"4","110","D",300,"D"
"20091",1909325,27,0,"4","800","D",120000,"F"
"20091",1909365,25,0,"4","130","D",3000,"D"
"20091",1909395,19,0,"4","800","D",11000,"D"
"20091",1909435,20,0,"4","130","D",189,"D"
"20091",1909435,21,0,"4","130","D",800,"D"
"20091",1909515,31,0,"4","110","D",500,"D"
"20091",1909515,32,0,"4","130","D",850,"D"
"20091",1909545,19,0,"4","700","D",200,"D"
"20091",1909545,20,0,"4","700","D",1800,"D"
"20091",1909555,21,0,"4","120","D",800,"F"
"20091",1909555,22,0,"4","130","D",800,"F"
"20091",1909575,21,0,"4","130","D",11000,"D"
"20091",1909585,22,0,"4","130","D",90,"D"
"20091",1909645,52,0,"4","120","D",433,"D"
