"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20091",1906375,53,0,"5","02","D","300","D",0.085,"F",68214,"V",15,"F",700,"F",,"B",,"B",,"B",,"B",11,"F",232,"F",234,"F",235,"F",457,"F",455,"F",454,"F",,"A","10","F","2006","F","1","F",,"A",64507,"F",64275,"F",64041,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1906595,41,0,"5","01","D","100","D",0.0859,"D",45000,"D",5,"D",925,"D",,"A",,"A",,"A",,"A",0,"D",666,"D",671,"D",676,"D",259,"D",254,"D",249,"D",,"A","10","D","2007","D","1","D",,"A",36156,"D",35489,"D",34818,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1906895,60,0,"5","01","D","100","D",0.065,"D",50000,"D",10,"D",574,"D",,"B",,"B",,"B",,"B",6,"D",297,"D",299,"D",300,"D",271,"D",269,"D",268,"D",,"A","11","D","2008","D","1","D",,"A",50000,"D",49703,"D",49404,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1907145,26,0,"5","01","D","100","D",0.06,"F",26000,"F",15,"F",270,"F",,"B",,"B",,"B",,"B",51,"F",177,"F",178,"F",179,"F",42,"F",41,"F",40,"F",,"A","06","F","1997","F","1","F",,"A",8373,"F",8196,"F",8018,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1907145,27,0,"5","01","D","100","D",0.086,"F",121905,"F",12,"F",1360,"F",,"A",,"A",,"A",,"A",0,"F",1282,"V",1281,"V",1314,"V",395,"F",388,"F",381,"F",,"A","10","F","2000","F","1","F",,"A",55070,"F",54105,"F",53133,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1907455,54,0,"5","01","D","100","D",0.0859,"D",32000,"D",10,"D",398,"D",,"A",,"A",,"A",,"A",0,"D",488,"D",492,"D",495,"D",75,"D",71,"D",68,"D",,"A","08","D","2000","D","2","D",,"A",7397,"D",7052,"D",6704,"D","01","D","1","D",,"A",,"A",563,"D",563,"D",563,"D","1","D","2","D"
"20091",1907495,43,0,"5","01","D","100","D",0.0785,"D",20000,"D",15,"D",269,"D",,"B",,"B",,"B",,"B",80,"D",72,"D",73,"D",73,"D",117,"D",116,"D",116,"D",,"A","03","D","2006","D","1","D",,"A",17865,"D",17793,"D",17721,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1907505,56,0,"5","01","D","100","D",0.102,"F",16700,"F",10,"F",223,"F",,"A",,"A",,"A",,"A",0,"F",67,"F",67,"F",68,"F",68,"F",68,"F",67,"F",,"A","10","F","2005","F","2","F",,"A",13213,"F",13103,"F",12992,"F","01","D",,"A",,"A",,"A",135,"F",135,"F",135,"F","1","D","2","D"
"20091",1907595,37,0,"5","01","D","100","D",0.07,"D",20000,"D",16,"D",176,"D",,"B",,"B",,"B",,"B",3,"D",74,"D",75,"D",75,"D",99,"D",98,"D",98,"D",,"A","10","D","2004","D","1","D",,"A",16890,"D",16815,"D",16740,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1907795,67,0,"5","01","D","100","D",0.057,"D",90000,"D",15,"D",760,"D",,"B",,"B",,"B",,"B",15,"D",406,"D",408,"D",410,"D",339,"D",337,"D",335,"D",,"A","06","D","2004","D","1","D",,"A",71322,"D",70916,"D",70508,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1908355,46,0,"5","01","D","100","D",0.071,"D",74598,"D",10,"D",870,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",870,"D",870,"D",870,"D",,"A","06","D","2007","D","1","D",,"A",74598,"D",74598,"D",74598,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20091",1908745,29,0,"5","01","D","100","D",0.0525,"D",52670,"D",5,"D",1000,"D",,"A",,"A",,"A",,"A",0,"D",1282,"T",1281,"T",1314,"T",72,"D",67,"D",63,"D",,"A","05","D","2005","D","1","D",,"A",16348,"D",15420,"D",14487,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1909255,39,0,"5","01","D","100","D",0.0625,"D",15000,"D",5,"D",316,"D",,"B",,"B",,"B",,"B",24,"D",257,"D",258,"D",259,"D",35,"D",34,"D",33,"D",,"A","12","D","2005","D","1","D",,"A",6812,"D",6555,"D",6298,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20091",1909655,76,0,"5","01","D","100","D",0.056,"D",5087,"D",5,"D",119,"D",,"B",,"B",,"B",,"B",22,"D",74,"D",75,"D",75,"D",23,"D",22,"D",22,"D",,"A","08","D","2008","D","1","D",,"A",4866,"D",4792,"D",4717,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
