"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VEHICYC","VEHICYC_","VEHDISP","VEHDISP_","VDISPMO","VDISPMO_","SALEX","SALEX_","REIMBURX","REIM_URX","EXREIMBX","EXRE_MBX","LOANSTAT","LOAN_TAT","FINPAYMX","FINP_YMX","VEHICIC","VEHICIC_"
"20091",1906385,82,0,"1","110","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1906455,62,0,"1","100","D","1","D","11","D",3000,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1906635,93,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1906635,94,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20091",1906925,70,0,"1","100","D","1","D","11","D",120,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1907175,65,0,"1","100","D","1","D","01","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1907415,48,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1907605,44,0,"1","100","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1907605,45,0,"1","150","D","4","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1907765,52,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1907865,22,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1908065,55,0,"1","160","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1908065,56,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20091",1908595,26,0,"1","100","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1908755,47,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1908865,50,0,"1","100","D","1","D","01","D",950,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1909095,38,0,"1","110","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1909165,27,0,"1","100","D","4","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1909235,48,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A",,"C",.,"A","01","D"
"20091",1909515,63,0,"1","100","D","1","D","12","D",150,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1909545,38,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1909745,52,0,"1","110","D","1","D","12","D",100,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1909755,39,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1909925,40,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1910135,32,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1910155,37,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1910335,41,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1910425,39,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1910435,54,0,"1","100","D","4","D","01","D",.,"A",2500,"D",.,"A","2","D",.,"A","01","D"
"20091",1910505,66,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20091",1910555,50,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1910555,51,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1910895,64,0,"1","100","D","1","D","12","D",2000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1910915,49,0,"2","200","D","1","D","11","D",22000,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1911285,27,0,"1","100","D","1","D","12","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1911675,81,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1911685,94,0,"1","100","D","1","D","11","D",1200,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1911745,77,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1911815,38,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1911815,39,0,"1","150","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1912155,31,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",6000,"D","01","D"
"20091",1912395,66,0,"1","100","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1912615,40,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1912635,38,0,"1","200","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1913405,62,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1913455,48,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20091",1913835,58,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",11000,"D","01","D"
"20091",1914235,58,0,"1","110","D","1","D","01","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1914325,38,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1914325,39,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1914345,57,0,"1","150","D","1","D","10","D",2700,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1914825,44,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1914895,77,0,"1","100","D","1","D","11","D",6300,"D",.,"A",.,"A","1","D",2500,"D","02","D"
"20091",1914905,31,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1915385,68,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1915525,42,0,"2","110","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20091",1915975,71,0,"1","100","D","4","D","01","D",.,"A",.,"A",19000,"D","2","D",.,"A","02","D"
"20091",1916005,21,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1916145,84,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1916175,36,0,"1","100","D","1","D","02","D",500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1916575,39,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1916655,67,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","1","D",2900,"D","01","D"
"20091",1916865,48,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","1","D",2000,"D","02","D"
"20091",1917005,55,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1917065,57,0,"2","100","D","1","D","10","D",2500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1917975,44,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1918485,66,0,"1","100","D","1","D","12","D",1200,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1918805,33,0,"1","130","D","5","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1919255,37,0,"1","150","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1919355,69,0,"1","180","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1919365,64,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1919415,44,0,"1","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1919415,45,0,"1","100","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1919605,36,0,"2","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1919805,47,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1919995,81,0,"1","110","D","1","D","11","D",500,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1920055,60,0,"1","110","D","1","D","11","D",500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1920055,61,0,"1","110","D","1","D","12","D",650,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1920055,62,0,"1","200","D","1","D","12","D",500,"D",.,"A",.,"A","2","D",.,"A","06","D"
"20091",1920145,35,0,"2","100","D","4","D","12","D",.,"A",100,"D",.,"A","2","D",.,"A","01","D"
"20091",1920295,31,0,"1","100","D","5","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1921085,56,0,"2","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1921305,42,0,"1","100","D","1","D","12","D",400,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1921335,63,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1921445,52,0,"1","150","D","1","D","02","D",3000,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1921535,73,0,"1","100","D","1","D","10","D",2000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1921565,29,0,"1","100","D","1","D","12","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1921645,60,0,"1","100","D","3","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1921955,34,0,"2","110","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1922025,45,0,"1","100","D","1","D","10","D",16000,"D",.,"A",.,"A","1","D",16000,"D","01","D"
"20091",1922415,56,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20091",1923795,57,0,"1","100","D","1","D","01","D",2500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1923805,67,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1923935,73,0,"1","110","D","4","D","01","D",.,"A",.,"A",.,"A","1","D",6600,"D","03","D"
"20091",1924295,58,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1924345,36,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1924395,55,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1924435,58,0,"1","100","D","1","D","12","D",1200,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1924615,71,0,"1","100","D","4","D","12","D",.,"A",6000,"D",.,"A","2","D",.,"A","05","D"
"20091",1924805,45,0,"1","110","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1924825,45,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1925785,95,0,"2","140","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","11","D"
"20091",1926015,51,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1926825,37,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1926965,42,0,"1","100","D","4","D","12","D",.,"A",4000,"D",.,"A","2","D",.,"A","01","D"
"20091",1927135,29,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1927745,52,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1928764,50,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1928834,73,0,"1","100","D","1","D","10","D",150,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1928924,48,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","02","D"
"20091",1929094,60,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",2200,"D","01","D"
"20091",1929104,36,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1929364,42,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1929394,47,0,"1","100","D","1","D","01","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1929484,52,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1929684,43,0,"1","110","D","1","D","02","D",300,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1929754,35,0,"1","100","D","1","D","12","D",100,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1930084,53,0,"2","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",2000,"D","03","D"
"20091",1930144,41,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1930394,67,0,"1","100","D","1","D","12","D",1700,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1930604,41,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1931694,46,0,"2","100","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1931764,34,0,"2","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1931834,23,0,"1","110","D","4","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1932114,68,0,"1","100","D","2","D","01","D",.,"A",.,"A",.,"A","1","D",2800,"D","02","D"
"20091",1932144,34,0,"1","110","D","1","D","01","D",2500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1932154,26,0,"1","100","D","1","D","11","D",800,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1932374,42,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1932374,43,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1932374,44,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1932374,45,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1932854,39,0,"1","100","D","1","D","11","D",2000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1933234,41,0,"1","100","D","4","D","11","D",.,"A",3700,"D",.,"A","2","D",.,"A","01","D"
"20091",1933354,44,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1933854,22,0,"1","110","D","5","D","12","D",.,"A",.,"A",18000,"D","2","D",.,"A","02","D"
"20091",1934024,35,0,"1","110","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1934394,38,0,"2","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1934745,42,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1934774,50,0,"1","100","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1935544,68,0,"1","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1936024,63,0,"1","110","D","4","D","01","D",.,"A",4940,"D",.,"A","2","D",.,"A","02","D"
"20091",1936154,32,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1936154,33,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1936215,125,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1936215,126,0,"1","110","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20091",1936724,46,0,"1","110","D","1","D","11","D",200,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1936744,27,0,"1","100","D","1","D","12","D",1500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1936954,47,0,"1","100","D","1","D","01","D",900,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1937004,52,0,"1","100","D","1","D","12","D",21000,"D",.,"A",.,"A","1","D",11695,"D","03","D"
"20091",1937334,48,0,"1","150","D","5","D","12","D",.,"A",60000,"D",.,"A","2","D",.,"A","04","D"
"20091",1937334,49,0,"1","150","D","1","D","02","D",10000,"D",.,"A",.,"A","2","D",.,"A","05","D"
"20091",1937345,46,0,"2","160","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1937384,90,0,"1","110","D","1","D","01","D",2800,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1937524,39,0,"1","110","D","4","D","11","D",.,"A",3300,"D",.,"A","2","D",.,"A","01","D"
"20091",1937834,61,0,"1","110","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1938374,57,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","07","D"
"20091",1938824,92,0,"1","130","D","1","D","12","D",6500,"D",.,"A",.,"A","2","D",.,"A","14","D"
"20091",1939044,31,0,"1","110","D","1","D","12","D",300,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1939204,53,0,"1","110","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20091",1939324,44,0,"1","200","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1939374,54,0,"1","100","D","1","D","11","D",300,"D",.,"A",.,"A","2","D",.,"A","04","D"
"20091",1939714,47,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1940314,74,0,"1","110","D","6","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1940494,56,0,"1","110","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1940904,78,0,"1","110","D","1","D","10","D",250,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1940915,22,0,"1","110","D","6","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1941024,31,0,"2","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1941135,25,0,"1","100","D","4","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1941404,51,0,"1","110","D","6","D","02","D",.,"A",.,"A",.,"A",,"C",.,"A","03","D"
"20091",1941564,37,0,"1","100","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1941894,43,0,"2","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1941975,28,0,"1","100","D","2","D","12","D",.,"A",.,"A",.,"A","1","D",11000,"F","01","D"
"20091",1942095,64,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1942214,48,0,"1","100","D","4","D","12","D",.,"A",9095,"D",.,"A","1","D",300,"D","02","D"
"20091",1942774,28,0,"1","100","D","1","D","12","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1942845,51,0,"1","110","D","1","D","11","D",500,"F",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1942894,74,0,"1","100","D","1","D","11","D",8500,"D",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1943224,39,0,"1","110","D","1","D","11","D",11500,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1943264,43,0,"1","110","D","1","D","12","D",1000,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1943934,43,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1944314,75,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","03","D"
"20091",1944324,52,0,"1","100","D","3","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1944494,45,0,"1","110","D","1","D","01","D",13000,"D",.,"A",.,"A","1","D",.,"A","03","D"
"20091",1944535,33,0,"1","100","D","2","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1944664,36,0,"1","110","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1944814,31,0,"1","100","D","1","D","12","D",6000,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1944845,49,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1944845,50,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1945134,30,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1945304,62,0,"1","110","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","05","D"
"20091",1945594,38,0,"1","100","D","3","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1945904,70,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1946044,47,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A",,"C",.,"A","01","D"
"20091",1946054,49,0,"1","110","D","2","D","02","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1946214,64,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","06","D"
"20091",1946334,41,0,"1","110","D","1","D","12","D",1000,"F",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1946475,24,0,"1","100","D","6","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1946804,34,0,"1","100","D","1","D","02","D",4300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1946924,85,0,"1","100","D","6","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1947014,49,0,"1","100","D","1","D","02","D",200,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1947724,38,0,"1","100","D","1","D","12","D",13500,"D",.,"A",.,"A","1","D",3000,"D","01","D"
"20091",1947774,47,0,"1","110","D","1","D","02","D",300,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1948104,52,0,"1","110","D","2","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1948324,44,0,"1","110","D","4","D","01","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1948344,58,0,"1","100","D","1","D","12","D",1900,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1948994,98,0,"1","100","D","3","D","12","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1949574,58,0,"1","100","D","6","D","10","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1950124,51,0,"1","100","D","1","D","11","D",2400,"D",.,"A",.,"A","2","D",.,"A","02","D"
"20091",1950564,25,0,"1","100","D","4","D","12","D",.,"A",.,"A",.,"A",,"C",.,"A","01","D"
"20091",1951205,32,0,"1","100","D","6","D","11","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1951263,48,0,"1","110","D","2","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1951273,41,0,"1","110","D","6","D","02","D",.,"A",.,"A",.,"A","1","D",.,"A","01","D"
"20091",1951443,58,0,"1","100","D","1","D","01","D",500,"D",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1951493,44,0,"1","100","D","3","D","10","D",.,"A",.,"A",.,"A","2","D",.,"A","01","D"
"20091",1951655,26,0,"1","110","D","1","D","02","D",4500,"D",.,"A",.,"A","2","D",.,"A","01","D"
