"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20091",1905755,37,0,"1",1950,"D",260,"D",390,"D",1300,"D",.,"A",.,"A",.,"A",.,"A",1690,"D","2","D"
"20091",1905765,33,0,"1",650,"D",130,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20091",1905775,36,0,"1",1300,"D",65,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",1235,"D","2","D"
"20091",1905785,58,0,"1",6175,"D",325,"D",.,"A",455,"D",90,"D",.,"A",.,"A",216,"D",5850,"D","2","D"
"20091",1905795,45,0,"1",1300,"D",650,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20091",1905805,52,0,"1",3250,"D",325,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",2925,"D","2","D"
"20091",1905815,52,0,"1",1950,"D",260,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",1690,"D","2","D"
"20091",1905825,37,0,"1",1170,"D",325,"D",.,"A",234,"D",.,"A",.,"A",.,"A",.,"A",845,"D","2","D"
"20091",1905855,68,0,"1",1820,"D",0,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1820,"D","2","D"
"20091",1905865,69,0,"1",1105,"D",0,"D",130,"D",325,"D",0,"D",.,"A",.,"A",.,"A",1105,"D","2","D"
"20091",1905875,56,0,"1",1651,"D",390,"D",.,"A",988,"D",30,"D",.,"A",.,"A",88,"D",1261,"D","2","D"
"20091",1905885,37,0,"1",975,"D",325,"D",650,"D",260,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20091",1905905,47,0,"1",650,"D",104,"D",130,"D",520,"D",225,"D",.,"A",.,"A",.,"A",546,"D","2","D"
"20091",1905935,65,0,"1",260,"D",39,"D",.,"A",975,"D",150,"D",.,"A",.,"A",.,"A",221,"D","2","D"
"20091",1905955,79,0,"1",2600,"D",260,"D",.,"A",390,"D",150,"D",.,"A",.,"A",.,"A",2340,"D","2","D"
"20091",1905965,51,0,"1",910,"D",130,"D",.,"A",715,"D",60,"D",.,"A",.,"A",.,"A",780,"D","2","D"
"20091",1905985,33,0,"1",2600,"D",349,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1509,"F","2","D"
"20091",1905995,24,0,"1",975,"D",156,"D",.,"A",0,"D",.,"A",.,"A",.,"A",138,"F",819,"D","2","D"
"20091",1906035,85,0,"1",2561,"D",520,"D",.,"A",1209,"D",195,"D",.,"A",.,"A",.,"A",2041,"D","2","D"
"20091",1906055,51,0,"1",1495,"D",260,"D",325,"D",975,"D",75,"D",.,"A",.,"A",.,"A",1235,"D","2","D"
"20091",1906065,31,0,"1",780,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20091",1906085,93,0,"1",1300,"D",260,"D",130,"D",260,"D",120,"D",.,"A",.,"A",.,"A",1040,"D","2","D"
"20091",1906095,45,0,"1",325,"D",239,"F",.,"A",2600,"D",225,"D",.,"A",.,"A",.,"A",885,"F","2","D"
"20091",1906115,56,0,"1",3250,"D",650,"D",.,"A",3900,"D",.,"A",.,"A",.,"A",268,"F",2600,"D","2","D"
