"NEWID","MEMBNO","PYMT2009","HWUSED09","QSTIMPYX","PYMT_009","HWUS_D09","QSTI_PYX"
1982624,1,"1","1",250,"D","D","D"
1985554,1,"1","2",250,"D","D","D"
1990694,2,"1","2",250,"D","D","D"
1994934,1,"1","1",250,"D","D","D"
1994934,2,"1","2",250,"D","D","D"
1984414,1,"1","3",250,"D","D","D"
1975724,1,"1","3",250,"D","D","D"
1978834,1,"1","3",250,"D","D","D"
1978834,2,"1","1",250,"D","D","D"
1977144,1,"1","3",250,"D","D","D"
1979974,1,"1","2",250,"D","D","D"
1979974,2,"1","2",250,"D","D","D"
2016244,1,,,.,"C","A","A"
1996164,1,"2",,.,"D","A","A"
1977994,5,"1","1",250,"D","D","D"
1980864,1,"1","1",250,"D","D","D"
1996113,3,"2",,.,"D","A","A"
2017683,1,"2",,.,"D","A","A"
2010953,1,"1","2",250,"D","D","D"
2011253,1,"1","2",250,"D","D","D"
2011253,2,"1","2",250,"D","D","D"
2013703,2,"1","1",250,"D","D","D"
2017523,1,"1","3",250,"D","D","D"
2016213,1,"2",,.,"D","A","A"
2015743,2,"1","1",250,"D","D","D"
1996933,1,"1","1",250,"D","D","D"
1996933,2,"1","1",250,"D","D","D"
2001003,1,"1","3",250,"D","D","D"
2017463,1,"1","1",250,"D","D","D"
2017463,2,"1","1",250,"D","D","D"
2003023,1,"2",,.,"D","A","A"
2003023,2,"1","1",250,"D","D","D"
1999473,1,"1","1",250,"D","D","D"
1999473,2,"1","1",250,"D","D","D"
1981794,1,"1","1",250,"D","D","D"
1981794,2,"1","1",250,"D","D","D"
1980124,1,"1","3",250,"D","D","D"
1975254,1,"1","3",250,"D","D","D"
1986624,1,"1","3",250,"D","D","D"
1989154,1,"1","1",250,"D","D","D"
1989154,2,"1","1",250,"D","D","D"
1976214,1,"1","3",250,"D","D","D"
1992724,1,"1","3",250,"D","D","D"
1975924,1,"1","2",250,"D","D","D"
1984154,1,"1","1",250,"D","D","D"
2005894,1,"1","1",250,"D","D","D"
1980314,2,"1","3",250,"D","D","D"
2002853,1,"1","2",250,"D","D","D"
2008993,1,"1","2",250,"D","D","D"
2001963,2,"2",,.,"D","A","A"
2006143,1,"1","3",250,"D","D","D"
2008543,1,"1","1",250,"D","D","D"
2008543,2,"1","1",250,"D","D","D"
2016893,1,"1","3",250,"D","D","D"
2001093,1,"1","1",250,"D","D","D"
2007623,1,"1","3",250,"D","D","D"
2007623,2,"1","3",250,"D","D","D"
2003493,1,"1","3",250,"D","D","D"
1999963,2,"1","3",250,"D","D","D"
1984334,1,"1","3",250,"D","D","D"
1991094,1,"2",,.,"D","A","A"
1991684,1,"1","3",250,"D","D","D"
1981834,1,"1","3",250,"D","D","D"
1993984,1,"1","1",250,"D","D","D"
1993984,2,"1","1",250,"D","D","D"
2010293,1,,,.,"C","A","A"
2010293,2,,,.,"C","A","A"
1995713,1,"1","3",250,"D","D","D"
2007703,1,"1","2",250,"D","D","D"
2007703,2,"1","1",250,"D","D","D"
2008573,1,"1","2",250,"D","D","D"
2007973,1,"1","1",250,"D","D","D"
2007973,2,"1","1",250,"D","D","D"
2000993,1,"1","2",250,"D","D","D"
1996153,1,,,.,"C","A","A"
1996153,2,"2",,.,"D","A","A"
2004343,1,"1","3",250,"D","D","D"
2015883,1,"1","3",250,"D","D","D"
1991044,1,"2",,.,"D","A","A"
1983804,1,"2",,.,"D","A","A"
1983804,2,"2",,.,"D","A","A"
1990564,1,"1","1",250,"D","D","D"
1985004,1,"1","1",250,"D","D","D"
1992034,1,"1","2",250,"D","D","D"
1974034,1,"1","1",250,"D","D","D"
1976034,1,"1","3",250,"D","D","D"
1994704,1,"1","2",250,"D","D","D"
1974704,1,"1","1",250,"D","D","D"
1974704,2,"1","1",250,"D","D","D"
1991944,1,"1","2",250,"D","D","D"
1991944,2,"1","2",250,"D","D","D"
2012553,1,"1","1",250,"D","D","D"
2011573,1,"1","3",250,"D","D","D"
2008063,1,"2",,.,"D","A","A"
2012583,1,"1","2",250,"D","D","D"
2001063,1,"1","3",250,"D","D","D"
2009883,1,"1","3",250,"D","D","D"
1996703,1,"1","1",250,"D","D","D"
2010883,5,"1","3",250,"D","D","D"
2005343,4,,,.,"C","A","A"
2011173,1,"1","3",250,"D","D","D"
2007333,1,"1","1",250,"D","D","D"
2007333,4,"1","1",250,"D","D","D"
1986084,1,"1","3",250,"D","D","D"
1986084,2,"1","3",250,"D","D","D"
1986734,4,"1","3",250,"D","D","D"
1985234,1,"1","2",250,"D","D","D"
1991584,1,"2",,.,"D","A","A"
1994324,1,"1","1",250,"D","D","D"
1994324,2,"1","1",250,"D","D","D"
1973554,5,"1","2",250,"D","D","D"
1973554,6,"1","2",250,"D","D","D"
1991864,1,"1","1",250,"D","D","D"
1977054,1,"1","1",250,"D","D","D"
1979194,1,"1","1",250,"D","D","D"
1995164,4,"1","1",250,"D","D","D"
2013023,1,"2",,.,"D","A","A"
2005553,2,"1","2",250,"D","D","D"
2012293,1,"1","3",250,"D","D","D"
2012293,2,"1","3",250,"D","D","D"
2001613,1,"1","3",250,"D","D","D"
2001613,2,"1","1",250,"D","D","D"
2001613,3,"1","1",250,"D","D","D"
2011043,1,"1","1",250,"D","D","D"
2011043,2,,,.,"C","A","A"
1996453,1,"1","1",250,"D","D","D"
2011183,1,"1","3",250,"D","D","D"
2010913,1,,,.,"C","A","A"
1995703,2,"1","2",250,"D","D","D"
2011133,1,"1","1",250,"D","D","D"
2008973,2,"1","3",250,"D","D","D"
2004363,1,"1","1",250,"D","D","D"
2016823,1,"2",,.,"D","A","A"
2015663,1,"2",,.,"D","A","A"
2015663,2,"2",,.,"D","A","A"
1988124,1,"1","1",250,"D","D","D"
1988124,2,"1","1",250,"D","D","D"
1991334,1,"1","1",250,"D","D","D"
1991334,2,"1","1",250,"D","D","D"
1978294,3,"1","3",250,"D","D","D"
1993864,1,"2",,.,"D","A","A"
1993864,2,"2",,.,"D","A","A"
1983654,4,"1","2",250,"D","D","D"
1990534,1,"2",,.,"D","A","A"
1994104,1,"1","2",250,"D","D","D"
1994104,2,"1","2",250,"D","D","D"
1976434,1,"2",,.,"D","A","A"
1989564,2,"2",,.,"D","A","A"
1990764,3,"1","3",250,"D","D","D"
1983734,1,"2",,.,"D","A","A"
2000733,1,"2",,.,"D","A","A"
2010683,1,"1","2",250,"D","D","D"
2010683,2,"1","2",250,"D","D","D"
1998013,1,"1","1",250,"D","D","D"
2011193,1,"1","2",250,"D","D","D"
2011193,2,"1","2",250,"D","D","D"
2002953,2,"2",,.,"D","A","A"
2003453,1,"1","3",250,"D","D","D"
1996243,1,"2",,.,"D","A","A"
2005843,1,"1","1",250,"D","D","D"
2015053,1,"1","3",250,"D","D","D"
2015053,2,"1","3",250,"D","D","D"
2009553,2,"1","1",250,"D","D","D"
2014923,2,"1","2",250,"D","D","D"
2000923,1,"1","2",250,"D","D","D"
2005474,1,"1","1",250,"D","D","D"
1979814,1,"1","2",250,"D","D","D"
1983214,1,"2",,.,"D","A","A"
1985994,1,"1","2",250,"D","D","D"
1975284,2,"1","2",250,"D","D","D"
1977574,1,,,.,"C","A","A"
1977574,2,,,.,"C","A","A"
1986814,1,"1","3",250,"D","D","D"
1978944,1,"1","2",250,"D","D","D"
2012804,1,"1","3",250,"D","D","D"
1980224,1,"1",,250,"D","C","D"
1973484,1,"1","3",250,"D","D","D"
1992374,3,"1","2",250,"D","D","D"
1973944,1,"1","3",250,"D","D","D"
1973944,2,"1","3",250,"D","D","D"
1982324,2,"1","1",250,"D","D","D"
