"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",1995545,25,0,"1","170","D","12","D",15,"D"
"20101",1995545,26,0,"1","150","D","12","D",372,"D"
"20101",1995545,27,0,"1","150","D","01","D",451,"D"
"20101",1995545,28,0,"1","150","D","02","D",324,"D"
"20101",1995545,29,0,"1","160","D","02","D",6,"D"
"20101",1995585,16,0,"1","150","D","13","D",800,"D"
"20101",1995605,14,0,"1","160","D","01","D",20,"D"
"20101",1995615,13,0,"2","160","D","12","D",5,"D"
"20101",1995655,14,0,"1","150","D","13","D",125,"D"
"20101",1995685,17,0,"1","170","D","12","D",500,"D"
"20101",1995685,18,0,"1","160","D","12","D",100,"D"
"20101",1995705,14,0,"1","100","D","13","D",75,"D"
"20101",1995705,15,0,"1","160","D","02","D",25,"D"
"20101",1995715,16,0,"1","150","D","13","D",20,"D"
"20101",1995725,15,0,"1","160","D","12","D",50,"D"
"20101",1995735,15,0,"1","160","D","12","D",10,"D"
"20101",1995785,15,0,"1","160","D","12","D",15,"D"
"20101",1995785,16,0,"1","160","D","12","D",15,"D"
"20101",1995805,14,0,"1","150","D","13","D",25,"D"
"20101",1995845,22,0,"1","150","D","13","D",75,"D"
"20101",1995845,23,0,"1","160","D","12","D",75,"D"
"20101",1995875,18,0,"1","150","D","13","D",100,"D"
"20101",1995885,22,0,"1","170","D","12","D",311,"F"
"20101",1995885,23,0,"1","160","D","12","D",300,"D"
"20101",1995885,24,0,"2","160","D","11","D",100,"D"
"20101",1995895,17,0,"1","150","D","13","D",246,"F"
"20101",1995915,14,0,"1","110","D","13","D",4200,"D"
"20101",1995915,15,0,"1","150","D","13","D",700,"D"
"20101",1995915,16,0,"1","180","D","13","D",2000,"D"
"20101",1995925,21,0,"1","170","D","12","D",20,"D"
"20101",1995925,22,0,"1","130","D","12","D",25,"D"
"20101",1995955,29,0,"2","170","D","12","D",500,"D"
"20101",1995965,14,0,"1","170","D","12","D",100,"D"
"20101",1995965,15,0,"1","150","D","13","D",25,"D"
"20101",1995995,21,0,"1","170","D","12","D",300,"D"
"20101",1995995,22,0,"1","110","D","13","D",595,"D"
"20101",1996035,15,0,"1","170","D","12","D",30,"D"
"20101",1996035,16,0,"1","150","D","13","D",30,"D"
"20101",1996115,15,0,"1","160","D","12","D",5,"D"
"20101",1996135,16,0,"1","170","D","12","D",130,"D"
"20101",1996175,17,0,"1","170","D","12","D",150,"D"
"20101",1996195,13,0,"1","170","D","02","D",160,"D"
"20101",1996195,14,0,"1","160","D","02","D",11,"D"
"20101",1996195,15,0,"2","170","D","12","D",950,"D"
"20101",1996195,16,0,"2","150","D","12","D",100,"D"
"20101",1996195,17,0,"2","160","D","12","D",100,"D"
"20101",1996225,18,0,"1","150","D","12","D",5000,"D"
"20101",1996235,15,0,"1","150","D","13","D",10,"D"
"20101",1996305,19,0,"1","170","D","01","D",100,"D"
"20101",1996305,20,0,"1","160","D","01","D",25,"D"
"20101",1996305,21,0,"2","170","D","11","D",439,"D"
"20101",1996305,22,0,"2","150","D","11","D",25,"D"
"20101",1996365,13,0,"1","160","D","11","D",10,"D"
"20101",1996365,14,0,"1","160","D","12","D",10,"D"
"20101",1996395,15,0,"1","110","D","13","D",720,"D"
"20101",1996435,17,0,"1","170","D","13","D",120,"D"
"20101",1996435,18,0,"1","170","D","12","D",50,"D"
"20101",1996435,19,0,"1","150","D","13","D",170,"D"
"20101",1996435,20,0,"2","170","D","11","D",500,"D"
"20101",1996435,21,0,"2","150","D","11","D",500,"D"
"20101",1996445,13,0,"1","170","D","13","D",10,"D"
"20101",1996455,22,0,"1","170","D","12","D",2000,"D"
"20101",1996455,23,0,"1","160","D","11","D",15,"D"
"20101",1996455,24,0,"1","160","D","01","D",15,"D"
"20101",1996465,13,0,"1","150","D","12","D",50,"D"
"20101",1996505,29,0,"1","170","D","13","D",450,"D"
"20101",1996505,30,0,"1","150","D","13","D",450,"D"
"20101",1996555,16,0,"1","170","D","01","D",10,"D"
"20101",1996565,15,0,"1","150","D","13","D",100,"D"
"20101",1996565,16,0,"1","160","D","13","D",36,"D"
"20101",1996565,17,0,"1","160","D","12","D",20,"D"
"20101",1996575,14,0,"2","170","D","12","D",55,"D"
"20101",1996575,15,0,"2","170","D","12","D",200,"D"
"20101",1996585,23,0,"1","170","D","12","D",75,"D"
"20101",1996585,24,0,"1","150","D","13","D",347,"D"
"20101",1996605,16,0,"2","160","D","12","D",5,"D"
"20101",1996635,15,0,"1","170","D","12","D",450,"D"
"20101",1996635,16,0,"2","170","D","12","D",20,"D"
"20101",1996635,17,0,"2","160","D","12","D",10,"D"
"20101",1996645,20,0,"1","150","D","13","D",280,"D"
