"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR5","CRED_TR5","CREDITX5","CRED_TX5","OWEMONEY","OWEM_NEY"
"20101",1995545,32,0,"1","700","D",5000,"D",.,"C"
"20101",1995655,16,0,"1","130","D",350,"D",900,"D"
"20101",1995655,17,0,"1","510","D",5800,"F",.,"C"
"20101",1995705,22,0,"1","130","D",2000,"D",1100,"D"
"20101",1995715,20,0,"1","120","D",500,"D",500,"D"
"20101",1995715,21,0,"1","120","D",500,"F",.,"C"
"20101",1995725,18,0,"1","130","D",2000,"D",.,"C"
"20101",1995735,17,0,"1","130","D",3200,"D",.,"C"
"20101",1995735,18,0,"1","700","D",4000,"F",.,"C"
"20101",1995775,31,0,"1","120","D",463,"D",463,"D"
"20101",1995775,32,0,"1","120","D",366,"D",366,"D"
"20101",1995775,33,0,"1","120","D",671,"D",671,"D"
"20101",1995775,34,0,"1","130","D",2546,"D",2546,"D"
"20101",1995845,26,0,"1","130","D",2300,"D",2000,"D"
"20101",1995885,28,0,"1","130","D",16000,"D",.,"C"
"20101",1995885,29,0,"1","130","D",200,"D",0,"D"
"20101",1995925,25,0,"1","800","D",8000,"D",.,"C"
"20101",1995955,36,0,"1","120","D",76,"D",0,"D"
"20101",1995975,21,0,"1","130","D",1780,"D",.,"C"
"20101",1995975,22,0,"1","130","D",9727,"D",.,"C"
"20101",1995975,23,0,"1","130","D",2524,"D",.,"C"
"20101",1995975,24,0,"1","130","D",3571,"D",.,"C"
"20101",1995975,25,0,"1","130","D",3765,"D",.,"C"
"20101",1995995,24,0,"1","120","D",421,"D",0,"D"
"20101",1996035,22,0,"1","130","D",400,"D",200,"D"
"20101",1996055,23,0,"1","800","D",8000,"D",9000,"D"
"20101",1996055,24,0,"1","700","D",300,"D",0,"D"
"20101",1996085,14,0,"1","130","D",300,"D",300,"D"
"20101",1996135,19,0,"1","130","D",1800,"D",0,"D"
"20101",1996135,20,0,"1","120","D",800,"D",0,"D"
"20101",1996145,16,0,"1","120","D",900,"D",808,"D"
"20101",1996145,17,0,"1","120","D",1558,"D",1763,"D"
"20101",1996175,24,0,"1","130","D",1200,"D",.,"C"
"20101",1996175,25,0,"1","120","D",10181,"D",0,"D"
"20101",1996175,26,0,"1","120","D",3111,"D",.,"C"
"20101",1996175,27,0,"1","700","D",111,"D",0,"D"
"20101",1996195,19,0,"1","130","D",355,"D",.,"C"
"20101",1996195,20,0,"1","700","D",20000,"F",.,"C"
"20101",1996205,19,0,"1","130","D",500,"D",.,"C"
"20101",1996205,20,0,"1","800","D",11500,"F",6000,"D"
"20101",1996395,19,0,"1","130","D",20000,"D",20000,"D"
"20101",1996445,16,0,"1","800","D",13000,"D",15000,"D"
"20101",1996445,17,0,"1","800","D",42000,"D",39000,"D"
"20101",1996445,18,0,"1","800","D",9000,"D",7000,"D"
"20101",1996475,21,0,"1","120","D",388,"D",0,"D"
"20101",1996475,22,0,"1","130","D",900,"D",400,"D"
"20101",1996475,23,0,"1","130","D",500,"D",1100,"D"
"20101",1996475,24,0,"1","130","D",700,"D",1200,"D"
"20101",1996555,19,0,"1","130","D",150,"D",0,"D"
"20101",1996585,27,0,"1","130","D",9000,"D",10000,"D"
"20101",1996605,19,0,"1","130","D",2400,"D",5000,"D"
"20101",1996635,21,0,"1","800","D",8000,"D",6000,"D"
"20101",1996645,24,0,"1","120","D",300,"F",.,"C"
"20101",1996645,25,0,"1","130","D",2297,"F",.,"C"
"20101",1996645,26,0,"1","510","D",2000,"F",.,"C"
"20101",1996645,27,0,"1","700","D",3000,"F",.,"C"
"20101",1996675,17,0,"1","130","D",18600,"D",22000,"D"
"20101",1996675,18,0,"1","700","D",330,"D",0,"D"
"20101",1996715,27,0,"1","130","D",1200,"D",.,"C"
"20101",1996715,28,0,"1","130","D",1000,"D",.,"C"
"20101",1996715,29,0,"1","130","D",1200,"D",.,"C"
"20101",1996715,30,0,"1","120","D",400,"D",.,"C"
"20101",1996765,24,0,"1","130","D",2000,"D",1500,"D"
"20101",1996765,25,0,"1","110","D",200,"D",200,"D"
"20101",1996775,20,0,"1","130","D",10000,"D",10000,"D"
"20101",1996795,26,0,"1","120","D",4330,"D",2000,"D"
"20101",1996795,27,0,"1","120","D",1800,"D",900,"D"
"20101",1996795,28,0,"1","130","D",5000,"D",2100,"D"
"20101",1996795,29,0,"1","130","D",10000,"D",7000,"D"
"20101",1996795,30,0,"1","130","D",5000,"D",4000,"D"
"20101",1996795,31,0,"1","200","D",1500,"D",500,"D"
"20101",1996815,19,0,"1","130","D",1750,"D",1750,"D"
"20101",1996935,18,0,"1","130","D",700,"D",700,"D"
"20101",1996965,31,0,"1","120","D",300,"D",100,"D"
"20101",1996965,32,0,"1","130","D",5300,"D",5200,"D"
"20101",1996965,33,0,"1","700","D",288,"D",1300,"D"
"20101",1996985,30,0,"1","120","D",2000,"D",2000,"D"
"20101",1996985,31,0,"1","130","D",15000,"D",7500,"D"
"20101",1996985,32,0,"1","510","D",1100,"D",3000,"D"
"20101",1996985,33,0,"1","800","D",1200,"D",2400,"D"
"20101",1996995,14,0,"1","130","D",3000,"F",.,"C"
"20101",1997025,31,0,"1","130","D",17000,"D",17000,"D"
"20101",1997045,37,0,"1","130","D",29000,"D",24000,"D"
"20101",1997095,30,0,"1","110","D",300,"D",300,"D"
"20101",1997095,31,0,"1","120","D",300,"D",200,"D"
"20101",1997095,32,0,"1","130","D",10000,"D",10000,"D"
"20101",1997145,38,0,"1","800","D",2200,"D",3300,"D"
"20101",1997245,21,0,"1","130","D",4200,"D",3500,"D"
"20101",1997255,15,0,"1","130","D",1200,"D",800,"D"
"20101",1997265,15,0,"1","130","D",16000,"D",16000,"D"
"20101",1997275,22,0,"1","130","D",8000,"D",0,"D"
"20101",1997295,28,0,"1","700","D",700,"D",.,"C"
"20101",1997325,24,0,"1","130","D",40000,"D",.,"C"
