"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20101",1996175,39,0,"5","02","D","100","D","2009","D",.,"A",36,"D","07","D",462,"D","3","D",.,"A",11500,"D",4600,"D",.,"A",,"A",462,"D",462,"D",462,"D",.,"A",.,"A",.,"A",4600,"D",.,"A","BMWAA","D",,"A"
"20101",1996755,31,0,"1","01","D","100","D","2010","D",.,"A",39,"D","01","D",434,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAU","D",,"A"
"20101",1996865,23,0,"5","02","D","100","D","2007","D",.,"A",1,"D","11","F",54000,"D","7","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","MRBXX","D",,"A"
"20101",1997265,25,0,"1","01","D","100","D","2007","D",0.75,"D",36,"D","07","D",675,"D","3","D",.,"A",.,"A",5500,"D",.,"A",,"A",675,"D",675,"D",675,"D",120,"D",120,"D",120,"D",5500,"D",.,"A","MRBAH","D",,"A"
"20101",1997765,64,0,"5","01","D","110","D","1999","D",.,"A",60,"D","12","F",240,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",240,"D",240,"D",240,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORAZ","D",,"A"
"20101",1998825,31,0,"5","01","D","110","D","2007","D",.,"A",60,"D","12","D",349,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",349,"D",349,"D",349,"D",.,"A",.,"A",.,"A",.,"B",.,"A","HONAG","D",,"A"
"20101",1998985,34,0,"5","01","D","110","D","2008","D",.,"A",36,"D","05","D",201,"D","3","D",.,"A",2200,"D",2500,"D",.,"A",,"A",201,"D",201,"D",201,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","FORBC","D",,"A"
"20101",1999135,32,0,"5","01","D","100","D","2008","D",.,"A",36,"D","09","D",195,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",195,"D",195,"D",195,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","SUBAF","D",,"A"
"20101",1999825,34,0,"5","01","D","110","D","2008","D",.,"A",36,"D","01","D",430,"D","3","D",.,"A",.,"A",853,"D",.,"A",,"A",430,"D",430,"D",430,"D",.,"A",.,"A",.,"A",853,"D",.,"A","BMWAO","D",,"A"
"20101",2000635,26,0,"5","01","D","110","D","2008","D",.,"A",48,"D","04","D",490,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",490,"D",490,"D",490,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHRAM","D",,"A"
