"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP"
"20101",1995545,59,0,"5","01","D","100","D",.,"A","3","D","07","D","1999","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995565,27,0,"5","01","D","100","D",.,"A","3","D","09","D","2002","D",.,"A",.,"A",.,"A",4800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995565,29,0,"5","03","D","300","D",.,"A","2","D","04","D","2004","D",.,"A",.,"A",.,"A",275,"F","1","D",2,"D","2","D",.,"A",,"A",.,"A",,"A"
"20101",1995585,40,0,"5","01","D","100","D",.,"A","3","D","07","D","1994","D",.,"A",.,"A",.,"A",3600,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995595,22,0,"5","01","D","100","D",.,"A","3","D","10","D","2008","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995605,32,0,"5","01","D","100","D",.,"A","1","D","10","D","2002","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995655,32,0,"5","01","D","100","D",.,"A","3","D",,"C","1964","D",.,"A",.,"A",.,"A",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995685,40,0,"5","01","D","100","D",.,"A","3","D","07","D","2003","D",.,"A",.,"A",.,"A",8000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995705,43,0,"5","01","D","100","D",.,"A","2","D","01","D","1980","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995725,33,0,"5","01","D","100","D",.,"A","3","D",,"C","1991","D",.,"A",.,"A",.,"A",4800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995735,49,0,"6","01","D","100","D",.,"A","3","D",,"B",,"B",.,"A",.,"A",.,"A",5000,"F",,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A"
"20101",1995745,29,0,"5","01","D","400","D",.,"A","3","D","05","D","2008","D",.,"A",.,"A",.,"A",750,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995765,21,0,"5","01","D","100","D",.,"A","3","D","05","D","1986","D",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995775,51,0,"5","01","D","100","D",.,"A","3","D","07","D","1993","D",.,"A",.,"A",.,"A",1575,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995785,36,0,"5","01","D","100","D",.,"A","3","D",,"C","1976","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995795,29,0,"5","01","D","100","D",.,"A","3","D","01","D",,"C",.,"A",.,"A",.,"A",450,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995805,37,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995825,22,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",500,"F",,"A",.,"A",,"A",.,"A",,"C",.,"A",,"A"
"20101",1995875,36,0,"5","01","D","100","D",.,"A","3","D","07","D","2007","D",.,"A",.,"A",.,"A",4100,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995885,51,0,"5","01","D","100","D",0.1,"D","1","D","08","D","1977","D",.,"A",.,"A",.,"A",1080,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995895,37,0,"5","01","D","100","D",.,"A","3","D","08","D","1961","D",.,"A",.,"A",.,"A",6300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995905,22,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",7000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995935,19,0,"5","01","D","100","D",.,"A","3","D","05","D","1998","D",.,"A",.,"A",.,"A",3800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995935,20,0,"5","02","D","300","D",.,"A","1","D","06","D","2005","D",.,"A",.,"A",.,"A",3000,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995955,54,0,"5","01","D","100","D",.,"A","3","D","08","D","1979","D",.,"A",.,"A",.,"A",5,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995965,31,0,"5","01","D","100","D",.,"A","3","D","04","D","1957","D",.,"A",.,"A",.,"A",700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995965,32,0,"5","02","D","400","D",.,"A","3","D","04","D","1960","D",.,"A",.,"A",.,"A",462,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995975,45,0,"5","01","D","100","D",.,"A","3","D","11","D","2002","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995985,31,0,"5","01","D","100","D",.,"A","3","D","04","D","2004","D",.,"A",.,"A",.,"A",800,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1995995,47,0,"5","01","D","100","D",0.2,"D","3","D","04","D","1996","D",.,"A",.,"A",.,"A",1467,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1996005,47,0,"5","01","D","100","D",.,"A","3","D","04","D","2001","D",.,"A",.,"A",.,"A",3200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20101",1996025,56,0,"5","01","D","100","D",.,"A","3","D",,"C","1987","D",.,"A",.,"A",.,"A",2685,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
