"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20101",1997005,75,0,"1",2,"D",60,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20101",1998825,46,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A","1","D","1","D","2","D","2","D",100,"D",.,"A"
"20101",1999435,40,0,"1",1,"D",120,"D",30,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",70,"D",.,"A"
"20101",2001415,120,0,"1",1,"D",227,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2003885,35,0,"1",30,"D",3000,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20101",2006245,56,0,"1",1,"D",55,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20101",2006815,30,0,"1",2,"D",130,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",20,"D"
"20101",2007205,70,0,"1",1,"D",75,"G",15,"D",.,"A",.,"A","2","D","1","D","2","D","2","D",85,"D",.,"A"
"20101",2016385,61,0,"1",1,"D",150,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",25,"D"
"20101",2016545,58,0,"1",1,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2018614,41,0,"1",3,"D",300,"D",.,"A",.,"A",15,"D",,"A",,"A",,"A",,"A",75,"D",.,"A"
"20101",2019074,44,0,"1",7,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",150,"D"
"20101",2020375,23,0,"1",3,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20101",2021014,50,0,"1",3,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2021474,56,0,"1",60,"D",1000,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",10,"D",1200,"D"
"20101",2022074,74,0,"1",3,"D",348,"D",50,"D",.,"A",56,"D",,"A",,"A",,"A",,"A",262,"D",.,"A"
"20101",2023224,75,0,"1",1,"D",186,"G",38,"G",.,"A",.,"A","1","D","1","D","2","D","1","D",110,"G",.,"A"
"20101",2024995,44,0,"1",2,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2025354,36,0,"1",1,"D",86,"D",10,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20101",2025474,49,0,"1",2,"D",1200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2025934,55,0,"1",1,"D",120,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",75,"D",.,"A"
"20101",2026714,59,0,"1",1,"D",49,"D",80,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",130,"D",.,"A"
"20101",2029314,26,0,"1",1,"D",120,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2029644,82,0,"1",1,"D",50,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",1,"D"
"20101",2031945,38,0,"1",1,"D",142,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20101",2032244,51,0,"1",3,"D",225,"D",.,"A",.,"A",6,"D",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20101",2035894,50,0,"1",1,"D",60,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20101",2036794,90,0,"1",1,"D",.,"A",75,"D",.,"A",60,"D",,"A",,"A",,"A",,"A",145,"D",.,"A"
"20101",2038704,43,0,"1",1,"D",82,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2038994,64,0,"1",1,"D",190,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20101",2040404,38,0,"1",2,"D",220,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20101",2162144,60,0,"1",1,"D",300,"D",.,"A",.,"A",47,"F",,"A",,"A",,"A",,"A",230,"D",.,"A"
"20101",2162294,77,0,"1",4,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20101",2171513,60,0,"1",1,"D",54,"D",.,"A",.,"A",7,"D",,"A",,"A",,"A",,"A",10,"D",.,"A"
"20101",2171683,46,0,"1",2,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",70,"D",.,"A"
"20101",2171733,40,0,"1",2,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",30,"D",.,"A"
"20101",2172104,63,0,"1",1,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"D",.,"A"
"20101",2173083,49,0,"1",7,"D",2556,"G",556,"G",.,"A",.,"A","1","D","1","D","2","D","2","D",1088,"G",.,"A"
