"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20101",1996025,73,0,"1",.,"A",.,"A",120,"D"
"20101",1996915,46,0,"1",150,"D",.,"A",.,"A"
"20101",1996995,26,0,"1",100,"D",.,"A",.,"A"
"20101",1997175,46,0,"1",60,"D",.,"A",.,"A"
"20101",1997295,65,0,"1",.,"A",.,"A",90,"D"
"20101",1997365,57,0,"1",.,"A",.,"A",80,"D"
"20101",1997565,73,0,"1",25,"D",.,"A",.,"A"
"20101",1997745,46,0,"1",20,"D",.,"A",.,"A"
"20101",1997865,59,0,"1",300,"D",.,"A",.,"A"
"20101",1997925,38,0,"1",.,"A",1,"D",.,"A"
"20101",1997975,35,0,"1",10,"D",.,"A",.,"A"
"20101",1998245,25,0,"1",.,"A",0,"D",.,"A"
"20101",1998365,77,0,"1",5,"D",.,"A",.,"A"
"20101",1998525,52,0,"1",.,"A",.,"A",20,"D"
"20101",1998565,55,0,"1",.,"A",.,"A",0,"D"
"20101",1998675,95,0,"1",.,"A",.,"A",68,"D"
"20101",1998685,60,0,"1",.,"A",.,"A",20,"D"
"20101",1999165,29,0,"1",.,"A",.,"A",40,"D"
"20101",1999305,24,0,"1",.,"A",.,"A",150,"D"
"20101",1999325,58,0,"1",150,"D",.,"A",.,"A"
"20101",1999385,65,0,"1",.,"A",.,"A",0,"D"
"20101",1999425,45,0,"1",.,"A",.,"A",80,"D"
"20101",1999515,28,0,"1",.,"A",.,"A",100,"D"
"20101",1999785,41,0,"1",.,"A",.,"A",20,"D"
"20101",1999845,32,0,"1",15,"D",.,"A",.,"A"
"20101",1999905,87,0,"1",.,"A",.,"A",45,"D"
"20101",2000095,40,0,"1",60,"D",.,"A",.,"A"
"20101",2000265,45,0,"1",30,"D",.,"A",.,"A"
"20101",2000365,42,0,"1",.,"A",.,"A",100,"D"
"20101",2000435,42,0,"1",135,"D",.,"A",.,"A"
"20101",2000745,60,0,"1",60,"D",.,"A",.,"A"
"20101",2000945,45,0,"1",90,"D",.,"A",.,"A"
"20101",2000975,83,0,"1",10,"D",.,"A",.,"A"
"20101",2001255,37,0,"1",.,"A",.,"A",80,"D"
"20101",2001465,55,0,"1",.,"A",.,"A",25,"D"
"20101",2001505,31,0,"1",.,"A",.,"A",60,"D"
"20101",2001805,53,0,"1",20,"D",.,"A",.,"A"
"20101",2001935,37,0,"1",50,"D",.,"A",.,"A"
"20101",2002255,41,0,"1",.,"A",.,"A",0,"D"
"20101",2002635,47,0,"1",0,"D",.,"A",.,"A"
"20101",2002865,45,0,"1",.,"A",.,"A",120,"D"
"20101",2002915,39,0,"1",.,"A",2,"D",.,"A"
"20101",2002965,36,0,"1",25,"D",.,"A",.,"A"
"20101",2003455,49,0,"1",40,"D",.,"A",.,"A"
"20101",2003615,94,0,"1",240,"D",.,"A",.,"A"
