"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
47,0,2016935,"520110","2"
81,0,2005235,"520110","2"
41,0,2004085,"520110","2"
42,0,1999785,"520110","2"
67,0,2001635,"520110","2"
68,0,2001635,"520110","2"
38,0,2160425,"520110","2"
68,0,2002825,"520110","2"
69,0,2002825,"520110","2"
41,0,2028084,"520110","2"
40,0,2032854,"520110","2"
65,0,2028524,"520110","2"
47,0,2168074,"520110","2"
54,0,2021804,"520110","2"
72,0,2026714,"520110","2"
43,0,2184213,"520110","2"
54,0,2175903,"520110","2"
43,0,2173523,"520110","2"
58,0,2175774,"520110","2"
32,0,2171983,"520110","2"
88,0,2169043,"520110","2"
60,0,2202572,"520110","2"
68,0,2213722,"520110","2"
46,0,2220302,"520110","2"
47,0,2198512,"520110","2"
54,0,2224494,"520110","2"
44,0,2008995,"520110","2"
54,0,2009595,"520110","2"
50,0,2007625,"520110","2"
84,0,2032554,"520110","2"
73,0,2029124,"520110","2"
74,0,2029124,"520110","2"
45,0,2022994,"520110","2"
67,1,2031114,"520110","2"
67,2,2031114,"520110","2"
100,0,2021434,"520110","2"
40,0,2030574,"520110","2"
88,0,2031224,"520110","2"
89,0,2031224,"520110","2"
40,0,2190103,"520110","2"
41,0,2190103,"520110","2"
80,0,2171233,"520110","2"
70,0,2211142,"520110","2"
98,0,2212082,"520110","2"
53,0,2209592,"520110","2"
76,1,2214832,"520110","2"
81,1,2214222,"520110","2"
81,2,2214222,"520110","2"
27,0,2227292,"520110","2"
85,0,2016525,"520110","2"
52,0,2019204,"520110","2"
52,0,2035044,"520110","2"
37,0,2191303,"520110","2"
83,0,2170543,"520110","2"
64,0,2170723,"520110","2"
51,0,2198812,"520110","2"
38,0,2208082,"520110","2"
43,0,2216812,"520110","2"
41,1,2017555,"520110","2"
41,2,2017555,"520110","2"
42,0,2008045,"520110","2"
38,0,2014635,"520110","2"
42,0,2155315,"520110","2"
32,0,2023814,"520110","2"
40,0,2025154,"520110","2"
31,0,2171054,"520110","2"
59,0,2208822,"520110","2"
65,0,2017145,"520110","2"
61,0,2000025,"520110","2"
62,0,2000745,"520110","2"
78,0,2011045,"520110","2"
78,0,2013875,"520110","2"
62,0,1997445,"520110","2"
51,0,2008975,"520110","2"
40,0,2014425,"520110","2"
64,0,2037874,"520110","2"
75,0,2032844,"520110","2"
53,0,2031614,"520110","2"
62,0,2036714,"520110","2"
44,0,2019264,"520110","2"
41,0,2030014,"520110","2"
56,0,2021344,"520110","2"
57,0,2040864,"520110","2"
53,0,2036504,"520110","2"
77,0,2030754,"520110","2"
43,0,2171963,"520110","2"
49,2,2185523,"520110","2"
90,0,2025345,"520110","2"
44,0,2172113,"520110","2"
57,0,2182383,"520110","2"
79,0,2169373,"520110","2"
55,0,2219352,"520110","2"
68,0,2216582,"520110","2"
83,0,2219272,"520110","2"
45,0,2209642,"520110","2"
31,0,2226865,"520110","2"
106,0,2218412,"520110","2"
52,0,2197695,"520110","2"
46,0,2214332,"520110","2"
100,0,1997755,"520110","2"
64,0,2003185,"520110","2"
52,0,2003455,"520110","2"
