"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
66,0,2191785,"520110","2"
45,0,2170175,"520110","2"
53,0,2187845,"520110","2"
45,0,2193465,"520110","2"
42,0,2173745,"520110","2"
24,0,2261035,"520110","2"
42,0,2170465,"520110","2"
91,0,2179715,"520110","2"
68,0,2181155,"520110","2"
69,0,2181155,"520110","2"
64,0,2174065,"520110","2"
35,1,2224465,"520110","2"
62,0,2217064,"520110","2"
63,0,2217064,"520110","2"
45,1,2198514,"520110","2"
44,0,2247783,"520110","2"
43,0,2254093,"520110","2"
36,0,2254523,"520110","2"
51,0,2283973,"520110","2"
74,0,2287883,"520110","2"
36,0,2283183,"520110","2"
41,1,2295993,"520110","2"
41,0,2237182,"520110","2"
53,0,2267482,"520110","2"
64,0,2293332,"520110","2"
59,0,2303112,"520110","2"
60,0,2303112,"520110","2"
38,0,2286102,"520110","2"
69,0,2340984,"520110","2"
70,0,2340984,"520110","2"
41,0,2178325,"520110","2"
67,1,2190845,"520110","2"
67,2,2190845,"520110","2"
51,0,2185565,"520110","2"
78,0,2171235,"520110","2"
78,1,2171655,"520110","2"
78,2,2171655,"520110","2"
79,1,2171655,"520110","2"
79,2,2171655,"520110","2"
39,1,2175135,"520110","2"
39,2,2175135,"520110","2"
46,0,2198874,"520110","2"
85,1,2202965,"520110","2"
85,2,2202965,"520110","2"
86,1,2202965,"520110","2"
86,2,2202965,"520110","2"
50,1,2201234,"520110","2"
50,2,2201234,"520110","2"
78,1,2215364,"520110","2"
78,2,2215364,"520110","2"
47,1,2212854,"520110","2"
47,2,2212854,"520110","2"
45,0,2205434,"520110","2"
38,0,2217754,"520110","2"
36,0,2228913,"520110","2"
49,0,2247033,"520110","2"
48,0,2261923,"520110","2"
69,1,2286533,"520110","2"
69,2,2286533,"520110","2"
70,1,2286533,"520110","2"
70,2,2286533,"520110","2"
59,0,2252562,"520110","2"
33,0,2232372,"520110","2"
37,0,2253002,"520110","2"
58,0,2248855,"520110","2"
63,0,2273832,"520110","2"
61,0,2271062,"520110","2"
49,0,2268442,"520110","2"
44,1,2283032,"520110","2"
44,2,2283032,"520110","2"
71,0,2304762,"520110","2"
30,1,2333225,"520110","2"
30,2,2333225,"520110","2"
46,0,2186015,"520110","2"
51,0,2181735,"520110","2"
117,0,2190475,"520110","2"
51,0,2216674,"520110","2"
74,0,2199664,"520110","2"
48,0,2198814,"520110","2"
49,0,2198814,"520110","2"
45,0,2204364,"520110","2"
73,0,2237113,"520110","2"
63,0,2232663,"520110","2"
57,0,2245803,"520110","2"
57,0,2261463,"520110","2"
62,0,2295783,"520110","2"
51,0,2301993,"520110","2"
114,0,2229922,"520110","2"
56,0,2270122,"520110","2"
46,0,2298592,"520110","2"
53,0,2288362,"520110","2"
59,0,2172675,"520110","2"
64,1,2182535,"520110","2"
64,2,2182535,"520110","2"
65,0,2182535,"520110","2"
24,0,2187035,"520110","2"
79,1,2171165,"520110","2"
79,2,2171165,"520110","2"
34,0,2211814,"520110","2"
43,0,2216084,"520110","2"
47,0,2218634,"520110","2"
77,0,2257703,"520110","2"
35,1,2263083,"520110","2"
35,2,2263083,"520110","2"
60,0,2275803,"520110","2"
43,0,2276412,"520110","2"
30,0,2301642,"520110","2"
43,1,2293392,"520110","2"
43,2,2293392,"520110","2"
45,0,2171965,"520110","2"
95,0,2187945,"520110","2"
67,0,2174675,"520110","2"
56,0,2186275,"520110","2"
51,0,2196475,"520110","2"
64,0,2214714,"520110","2"
58,0,2204404,"520110","2"
93,0,2203834,"520110","2"
52,0,2209185,"520110","2"
60,0,2217464,"520110","2"
86,0,2238703,"520110","2"
68,0,2258183,"520110","2"
41,0,2278953,"520110","2"
63,0,2275913,"520110","2"
41,0,2285793,"520110","2"
51,2,2286773,"520110","2"
66,0,2282333,"520110","2"
41,0,2250252,"520110","2"
36,0,2247842,"520110","2"
47,0,2252442,"520110","2"
54,0,2255922,"520110","2"
44,0,2266142,"520110","2"
62,0,2285582,"520110","2"
