"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","QRT3_CMX","RTTELEPH","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_"
"20111",2227734,23,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","1","D",400,"D",.,"A",1200,"D",0,"D",,"A",,"A",,"A",,"A"
"20111",2227814,17,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",3750,"F",,"A",,"A",,"A",,"A"
"20111",2227835,26,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2010,"D",,"A",,"A",,"A",,"A"
"20111",2227864,23,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1950,"D",,"A",,"A",,"A",,"A"
"20111",2227885,39,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1080,"D",,"A",,"A",,"A",,"A"
"20111",2227975,22,0,"1","1","D","2","D","2","D","2","D","1","D","1","D","1","D",450,"D",.,"A",75,"D",1275,"D",,"A",,"A",,"A",,"A"
"20111",2227984,43,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2100,"D",,"A",,"A",,"A",,"A"
"20111",2228075,34,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1500,"D",,"A",,"A",,"A",,"A"
"20111",2228105,24,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1650,"D",,"A",,"A",,"A",,"A"
"20111",2228194,33,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A"
"20111",2228274,25,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1725,"D",,"A",,"A",,"A",,"A"
"20111",2228445,33,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1800,"D",,"A",,"A",,"A",,"A"
"20111",2228494,17,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",960,"D",,"A",,"A",,"A",,"A"
"20111",2228544,22,0,"1","1","D","2","D","2","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",2400,"D",,"A",,"A",,"A",,"A"
"20111",2228624,23,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2310,"D",,"A",,"A",,"A",,"A"
