"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX"
"20111",2227674,30,0,"1","150","D","1","D",24,"D"
"20111",2227775,52,0,"1","150","D","1","D",0,"D"
"20111",2227885,40,0,"1","150","D","1","D",36,"D"
"20111",2227914,63,0,"1","150","D","1","D",30,"D"
"20111",2227914,64,0,"1","830","D","1","D",30,"D"
"20111",2227984,44,0,"1","150","D","1","D",70,"D"
"20111",2228024,42,0,"1","830","D","1","D",20,"D"
"20111",2228034,35,0,"1","150","D","1","D",38,"D"
"20111",2228094,45,0,"1","150","D","1","D",35,"D"
"20111",2228094,46,0,"1","830","D","1","D",68,"D"
"20111",2228094,47,0,"1","800","D","1","D",390,"D"
"20111",2228115,74,0,"1","150","D","1","D",30,"D"
"20111",2228115,75,0,"1","830","D","1","D",0,"D"
"20111",2228185,37,0,"1","820","D","1","D",450,"D"
"20111",2228234,33,0,"1","150","D","1","D",32,"D"
"20111",2228234,34,0,"1","820","D","1","D",120,"D"
"20111",2228244,52,0,"1","150","D","1","D",58,"D"
"20111",2228325,50,0,"1","150","D","1","D",33,"D"
"20111",2228415,48,0,"1","830","D","1","D",105,"D"
"20111",2228455,49,0,"1","150","D","1","D",40,"D"
"20111",2228455,50,0,"1","150","D","1","D",75,"D"
"20111",2228455,51,0,"1","500","D","1","D",35,"D"
"20111",2228455,52,0,"1","800","D","1","D",320,"D"
"20111",2228464,47,0,"1","150","D","1","D",40,"D"
"20111",2228464,48,0,"1","150","D","1","D",22,"D"
"20111",2228464,49,0,"1","150","D","1","D",20,"D"
"20111",2228464,50,0,"1","150","D","1","D",60,"D"
"20111",2228535,34,0,"1","150","D","1","D",32,"D"
"20111",2228705,32,0,"1","150","D","1","D",95,"D"
"20111",2228705,33,0,"1","830","D","1","D",30,"D"
"20111",2229275,59,0,"1","800","D","1","D",150,"D"
"20111",2229355,38,0,"1","150","D","1","D",72,"D"
"20111",2229365,54,0,"1","830","D","1","D",106,"D"
"20111",2229374,35,0,"1","830","D","1","D",267,"D"
"20111",2229435,94,0,"1","150","D","1","D",26,"D"
"20111",2229435,95,0,"1","150","D","1","D",0,"D"
"20111",2229555,39,0,"1","500","D","1","D",76,"D"
"20111",2229565,62,0,"1","150","D","1","D",0,"D"
"20111",2229565,63,0,"1","150","D","1","D",30,"D"
"20111",2229694,30,0,"1","150","D","1","D",140,"D"
"20111",2229794,63,0,"1","150","D","1","D",48,"D"
"20111",2229824,41,0,"1","150","D","1","D",78,"D"
"20111",2229824,42,0,"1","150","D","1","D",75,"D"
"20111",2229824,43,0,"1","150","D","1","D",75,"D"
"20111",2229835,46,0,"1","150","D","1","D",42,"D"
"20111",2229844,34,0,"1","150","D","1","D",60,"D"
"20111",2229844,35,0,"1","830","D","1","D",0,"D"
"20111",2229905,48,0,"1","150","D","1","D",56,"D"
"20111",2229905,49,0,"1","830","D","1","D",200,"D"
"20111",2229915,73,0,"1","830","D","1","D",360,"D"
"20111",2229924,146,0,"1","840","D","1","D",50,"D"
"20111",2229975,50,0,"1","150","D","1","D",26,"D"
"20111",2230565,75,0,"1","830","D","1","D",0,"D"
"20111",2230565,76,0,"1","840","D","1","D",20,"D"
"20111",2230785,53,0,"1","150","D","1","D",52,"D"
"20111",2230844,82,0,"1","830","D","1","D",60,"D"
"20111",2230895,50,0,"1","150","D","1","D",60,"D"
"20111",2230895,51,0,"1","150","D","1","D",50,"D"
"20111",2230924,57,0,"1","910","D","1","D",78,"D"
"20111",2230924,58,0,"1","810","D","1","D",60,"D"
"20111",2230965,46,0,"1","830","D","1","D",233,"D"
"20111",2230965,47,0,"1","840","D","1","D",45,"D"
"20111",2230994,48,0,"1","150","D","1","D",54,"D"
"20111",2231015,87,0,"1","150","D","1","D",120,"D"
"20111",2231015,88,0,"1","830","D","1","D",117,"D"
"20111",2231015,89,0,"1","820","D","1","D",200,"D"
"20111",2231045,48,0,"1","150","D","1","D",16,"D"
"20111",2231045,49,0,"1","150","D","1","D",40,"D"
"20111",2231045,50,0,"1","150","D","1","D",20,"D"
"20111",2231045,51,0,"1","840","D","1","D",50,"D"
"20111",2231124,51,0,"1","150","D","2","D",10,"D"
"20111",2231195,67,0,"1","150","D","1","D",30,"D"
"20111",2231195,68,0,"1","150","D","1","D",65,"D"
"20111",2231225,29,0,"1","150","D","1","D",0,"D"
"20111",2231274,62,0,"1","200","D","1","D",30,"D"
"20111",2231274,63,0,"1","830","D","1","D",30,"D"
"20111",2231464,38,0,"1","150","D","1","D",57,"D"
"20111",2231495,47,0,"1","150","D","1","D",20,"D"
"20111",2231555,41,0,"1","150","D","1","D",31,"D"
"20111",2231565,92,0,"1","200","D","1","D",30,"D"
"20111",2231565,93,0,"1","800","D","1","D",280,"D"
"20111",2231565,94,0,"1","800","D","1","D",144,"D"
"20111",2231565,95,0,"1","800","D","1","D",100,"D"
"20111",2231565,96,0,"1","830","D","1","D",210,"D"
"20111",2231565,97,0,"1","820","D","1","D",140,"D"
"20111",2231734,81,0,"1","150","D","1","D",31,"D"
"20111",2231734,82,0,"1","150","D","1","D",15,"D"
"20111",2231734,83,0,"1","150","D","1","D",30,"D"
"20111",2231734,84,0,"1","150","D","1","D",18,"D"
"20111",2231734,85,0,"1","150","D","1","D",11,"D"
"20111",2231745,49,0,"1","150","D","1","D",17,"D"
"20111",2231754,46,0,"1","830","D","1","D",180,"D"
"20111",2231824,67,0,"1","150","D","1","D",75,"D"
