"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20111",2228964,72,0,"1",1,"D",.,"H",,"A"
"20111",2228964,72,1,"1",.,"A",69,"E","100","D"
"20111",2228964,72,2,"1",.,"A",19,"E","110","D"
"20111",2228964,72,3,"1",.,"A",35,"E","120","D"
"20111",2228964,72,4,"1",.,"A",5,"E","140","D"
"20111",2228964,72,5,"1",.,"A",239,"E","150","D"
"20111",2228964,72,6,"1",.,"A",54,"E","160","D"
"20111",2228964,72,7,"1",.,"A",18,"E","170","D"
"20111",2228964,72,8,"1",.,"A",130,"E","180","D"
"20111",2228964,72,9,"1",.,"A",31,"E","190","D"
"20111",2240014,56,0,"1",1,"D",.,"H",,"A"
"20111",2240014,56,1,"1",.,"A",14,"E","120","D"
"20111",2240014,56,2,"1",.,"A",2,"E","140","D"
"20111",2240014,56,3,"1",.,"A",81,"E","150","D"
"20111",2240014,56,4,"1",.,"A",19,"E","160","D"
"20111",2240014,56,5,"1",.,"A",5,"E","170","D"
"20111",2240014,56,6,"1",.,"A",14,"E","180","D"
"20111",2240014,56,7,"1",.,"A",9,"E","190","D"
"20111",2241675,58,0,"1",1,"D",.,"H",,"A"
"20111",2241675,58,1,"1",.,"A",23,"E","120","D"
"20111",2241675,58,2,"1",.,"A",8,"E","140","D"
"20111",2241675,58,3,"1",.,"A",175,"E","150","D"
"20111",2241675,58,4,"1",.,"A",39,"E","160","D"
"20111",2241675,58,5,"1",.,"A",13,"E","170","D"
"20111",2241675,58,6,"1",.,"A",95,"E","180","D"
"20111",2241675,58,7,"1",.,"A",22,"E","190","D"
"20111",2241754,39,0,"1",1,"D",.,"H",,"A"
"20111",2241754,39,1,"1",.,"A",36,"E","120","D"
"20111",2241754,39,2,"1",.,"A",5,"E","140","D"
"20111",2241754,39,3,"1",.,"A",245,"E","150","D"
"20111",2241754,39,4,"1",.,"A",55,"E","160","D"
"20111",2241754,39,5,"1",.,"A",18,"E","170","D"
"20111",2241754,39,6,"1",.,"A",134,"E","180","D"
