"QYEAR","NEWID","SEQNO","ALCNO","INTSERV","INTSERV_","INTMO","INTMO_","INTCHGX","INTCHGX_","INTSRV1","INTSRV1_","INTSRV2","INTSRV2_","INTSRV3","INTSRV3_","INTSRV4","INTSRV4_","INTSRV5","INTSRV5_","INTSRV6","INTSRV6_","INTSRV7","INTSRV7_","INTSRV8","INTSRV8_","INTSRV9","INTSRV9_"
"20111",2227674,34,0,"100","D","13","D",55,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227734,28,0,"100","D","13","D",74,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227775,56,0,"100","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227775,57,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227775,57,1,"200","D","13","D",67,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227775,57,2,"100","D","13","D",113,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227845,54,0,"300","D","12","D",13,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,26,0,"255","D","10","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,26,1,"200","D","10","D",39,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,26,2,"100","D","10","D",66,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,27,0,"255","D","11","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,27,1,"200","D","11","D",39,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,27,2,"100","D","11","D",66,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,28,0,"255","D","12","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,28,1,"200","D","12","D",38,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227864,28,2,"100","D","12","D",67,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227885,45,0,"100","D","13","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227944,43,0,"255","D","13","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227944,43,1,"200","D","13","D",30,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227944,43,2,"100","D","13","D",50,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227975,27,0,"100","D","13","D",118,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2227984,48,0,"100","D","13","D",55,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228024,46,0,"100","D","13","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228034,42,0,"100","D","11","D",66,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228034,43,0,"100","D","12","D",66,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228034,44,0,"100","D","10","D",66,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228115,81,0,"700","D","13","D",25,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228124,32,0,"100","D","13","D",62,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228185,41,0,"200","D","13","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228194,38,0,"100","D","13","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228234,38,0,"100","D","13","D",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,52,0,"255","D","10","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,52,1,"200","D","10","D",40,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,52,2,"100","D","10","D",68,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,53,0,"255","D","11","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,53,1,"200","D","11","D",42,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,53,2,"100","D","11","D",72,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,54,0,"255","D","12","D",.,"H","200","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,54,1,"200","D","12","D",40,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228254,54,2,"100","D","12","D",68,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228325,55,0,"100","D","13","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228445,38,0,"100","D","13","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228455,59,0,"200","D","13","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228464,55,0,"900","D","13","D",.,"H","600","D","100","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228464,55,1,"600","D","13","D",72,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228464,55,2,"100","D","13","D",128,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228535,41,0,"100","D","13","D",81,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20111",2228614,39,0,"100","D","13","D",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
