"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","INSTALLX","INST_LLX","MEDICALX","MEDI_ALX","PDOTHERX","PDOT_ERX","GASCARDX","GASC_RDX","STRCARDX","STRC_RDX","MAJCARDX","MAJC_RDX","FININSTX","FINI_STX"
"20121",2377165,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",6000,"D",.,"A"
"20121",2377175,31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377225,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377235,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377265,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377275,25,0,"1",.,"A",.,"A",.,"A",.,"A",2,"D",.,"A",.,"A"
"20121",2377335,31,0,"1",.,"A",100,"F",.,"A",.,"A",.,"A",50,"F",.,"A"
"20121",2377345,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377355,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377365,20,0,"1",.,"A",.,"A",100,"F",.,"A",.,"A",360,"D",.,"A"
"20121",2377385,18,0,"1",.,"A",.,"A",.,"A",.,"A",3,"D",20,"D",.,"A"
"20121",2377405,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377455,26,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377475,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377485,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377505,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377535,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377555,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",.,"A"
"20121",2377565,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377575,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",212,"D",.,"A"
"20121",2377625,29,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377645,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",7,"D",.,"A"
"20121",2377695,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",.,"A"
"20121",2377705,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377715,16,0,"1",.,"A",.,"A",.,"A",.,"A",60,"F",.,"A",.,"A"
"20121",2377725,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377735,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377755,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",244,"F"
"20121",2377785,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377825,16,0,"1",.,"A",.,"A",.,"A",.,"A",100,"F",2500,"F",.,"A"
"20121",2377845,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377865,31,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377925,25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A"
"20121",2377945,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377965,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377975,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377985,35,0,"1",.,"A",.,"A",2580,"F",.,"A",125,"F",1200,"F",.,"A"
"20121",2378005,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378035,27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378045,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378055,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378075,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378085,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378095,30,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378115,22,0,"1",.,"A",.,"A",.,"A",.,"A",25,"F",150,"F",.,"A"
"20121",2378165,30,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378175,24,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",150,"D",.,"A"
"20121",2378245,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378255,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",2200,"D",.,"A"
"20121",2378265,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378285,49,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",149,"D",.,"A"
"20121",2378305,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378365,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378415,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378445,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378485,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378515,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378525,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378575,25,0,"1",.,"A",.,"A",.,"A",45,"D",60,"F",.,"A",.,"A"
"20121",2378585,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378605,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378635,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378645,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2378665,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",500,"D",.,"A"
"20121",2378685,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
