"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20121",2377165,46,0,"5","01","D","100","D",0.05,"D",140000,"D",30,"D",1800,"D","3","D","4","D",,"A",,"A",1048,"D",312,"D",313,"D",315,"D",440,"D",439,"D",437,"D",,"A","06","D","1999","D","1","D",,"A",105577,"D",105265,"D",104952,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377175,44,0,"5","01","D","100","D",0.0784,"D",215000,"D",30,"D",1751,"D","3","D","4","D",,"A",,"A",197,"D",255,"D",256,"D",258,"D",1299,"D",1298,"D",1296,"D",,"A","12","D","2004","D","1","D",,"A",198869,"D",198614,"D",198358,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377175,45,0,"5","01","D","100","D",0.0784,"D",215000,"D",30,"D",1751,"D","3","D","4","D",,"A",,"A",197,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",,"A","10","D","2011","D","2","D",,"A",215000,"D",214851,"D",214701,"D","02","D","1","D",,"A","3","D",0,"D",0,"D",0,"D","1","D","2","D"
"20121",2377265,26,0,"5","01","D","100","D",0.0488,"D",170000,"D",30,"D",1200,"D","3","D",,"A",,"A",,"A",300,"D",281,"D",282,"D",283,"D",619,"D",618,"D",617,"D",,"A","09","D","2005","D","1","D",,"A",152306,"D",152026,"D",151744,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377345,43,0,"5","01","D","100","D",0.0613,"D",398728,"D",30,"D",2424,"D",,"A",,"A",,"A",,"A",0,"D",603,"D",606,"D",609,"D",1821,"D",1818,"D",1815,"D",,"A","07","D","2004","D","1","D",,"A",356450,"D",355847,"D",355240,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377365,39,0,"5","01","D","100","D",0.0475,"D",86394,"D",15,"D",672,"D",,"A",,"A",,"A",,"A",0,"D",599,"D",602,"D",604,"D",73,"D",70,"D",68,"D",,"A","03","D","1999","D","1","D",,"A",18377,"D",17778,"D",17176,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377385,30,0,"5","01","D","100","D",0.0725,"D",212555,"D",30,"D",1450,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",1450,"D",1450,"D",1450,"D",,"A","06","D","2007","D","1","D",,"A",212555,"D",212555,"D",212555,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20121",2377405,39,0,"5","01","D","100","D",0.0525,"D",50000,"D",15,"D",579,"D","3","D","4","D",,"A",,"A",177,"D",259,"D",260,"D",261,"D",143,"D",142,"D",141,"D",,"A","03","D","2005","D","1","D",,"A",32751,"D",32492,"D",32233,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377455,53,0,"5","01","D","100","D",0.05,"D",67900,"D",15,"D",824,"D","3","D","4","D",,"A",,"A",287,"D",281,"D",282,"D",283,"D",256,"D",255,"D",254,"D",,"A","10","D","2009","D","1","D",,"A",61501,"D",61220,"D",60938,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377475,37,0,"5","01","D","100","D",0.0425,"D",45000,"D",15,"D",440,"D","3","D","4","D",,"A",,"A",101,"D",187,"D",188,"D",189,"D",152,"D",151,"D",150,"D",,"A","10","D","2010","D","1","D",,"A",42802,"D",42615,"D",42427,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377505,34,0,"5","01","D","100","D",0.0784,"D",24000,"D",20,"D",275,"D",,"B",,"B",,"B",,"B",77,"D",160,"D",161,"D",162,"D",38,"D",37,"D",36,"D",,"A","06","D","1994","D","1","D",,"A",5871,"D",5711,"D",5550,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377565,44,0,"5","01","D","100","D",0.05,"D",88250,"D",30,"D",725,"D","3","D","4","D",,"A",,"A",251,"D",120,"D",121,"D",121,"D",354,"D",353,"D",353,"D",,"A","04","D","2009","D","1","D",,"A",84861,"D",84740,"D",84620,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377625,48,0,"5","01","D","100","D",0.07,"D",85000,"D",30,"D",1030,"D","3","D","4","D",,"A",,"A",464,"D",423,"D",426,"D",428,"D",143,"D",140,"D",138,"D",,"A","01","D","1986","D","1","D",,"A",24459,"D",24036,"D",23610,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377625,49,0,"5","01","D","100","D",0.0784,"D",20757,"D",30,"D",150,"D",,"A",,"A",,"A",,"A",0,"D",21,"D",21,"D",21,"D",129,"D",129,"D",129,"D",,"A","01","D","2007","D","1","D",,"A",19767,"D",19746,"D",19725,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377645,34,0,"5","01","D","100","D",0.064,"D",59900,"D",30,"D",580,"D","3","D","4","D",,"A",,"A",205,"D",78,"D",78,"D",79,"D",297,"D",297,"D",296,"D",,"A","06","D","2006","D","1","D",,"A",55677,"D",55599,"D",55521,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377695,40,0,"5","01","D","100","D",0.06,"D",129931,"D",30,"D",975,"D","3","D",,"A","5","D",,"A",196,"D",478,"D",480,"D",483,"D",301,"D",299,"D",296,"D",,"A","12","D","1989","D","1","D",,"A",60237,"D",59760,"D",59279,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377735,39,0,"5","01","D","100","D",0.072,"D",59518,"D",30,"D",404,"D",,"A",,"A",,"A",,"A",0,"D",171,"D",172,"D",173,"D",233,"D",232,"D",231,"D",,"A","10","D","1993","D","1","D",,"A",38881,"D",38711,"D",38539,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377785,42,0,"5","01","D","100","D",0.0475,"D",599703,"T",30,"D",5009,"T","3","D","4","D","5","D",,"A",1814,"D",705,"D",708,"D",710,"D",2081,"D",2078,"D",2076,"D",,"A","10","D","2010","D","1","D",,"A",539262,"T",538183,"T",534299,"T","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377825,29,0,"5","01","D","100","D",0.068,"F",86360,"F",30,"F",650,"F","3","F","4","F",,"A",,"A",87,"F",118,"F",118,"F",119,"F",445,"F",445,"F",444,"F",,"A","01","F","2005","F","1","F",,"A",78585,"F",78467,"F",78349,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377825,30,0,"5","01","D","100","D",0.08,"D",30000,"D",30,"D",1100,"D",,"A",,"A","5","D",,"A",880,"D",21,"D",21,"D",21,"D",199,"D",199,"D",199,"D",,"A","03","D","2011","D","1","D",,"A",29857,"D",29836,"D",29815,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377865,54,0,"5","01","D","100","D",0.0438,"D",86000,"D",15,"D",660,"D",,"B",,"B",,"B",,"B",7,"D",348,"D",349,"D",350,"D",305,"D",304,"D",303,"D",,"A","03","D","2011","D","1","D",,"A",83600,"D",83252,"D",82903,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377965,35,0,"5","01","D","100","D",0.06,"D",68000,"D",30,"D",720,"D","3","D","4","D","5","D",,"A",312,"D",126,"D",127,"D",127,"D",282,"D",281,"D",281,"D",,"A","06","D","2001","D","1","D",,"A",56358,"D",56231,"D",56105,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2377985,61,0,"5","01","D","100","D",0.045,"D",342000,"D",30,"D",2431,"D","3","D","4","D","5","D",,"A",698,"D",469,"D",471,"D",473,"D",1264,"D",1262,"D",1260,"D",,"A","11","D","2010","D","1","D",,"A",336951,"D",336481,"D",336010,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378045,26,0,"5","01","D","100","D",0.0772,"D",72000,"D",30,"D",573,"D","3","D","4","D",,"A",,"A",59,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","08","D","2002","D","2","D",,"A",63857,"D",63754,"D",63649,"D","01","D","1","D",,"A",,"A",683,"D",683,"D",683,"D","1","D","2","D"
"20121",2378055,36,0,"5","01","D","100","D",0.055,"D",160000,"D",30,"D",1500,"D","3","D","4","D",,"A",,"A",592,"D",200,"D",201,"D",202,"D",708,"D",707,"D",706,"D",,"A","04","D","2009","D","1","D",,"A",154396,"D",154196,"D",153995,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378095,55,0,"5","01","D","100","D",0.0784,"D",143671,"D",10,"D",1731,"D",,"A",,"A",,"A",,"A",0,"D",840,"D",846,"D",851,"D",891,"D",885,"D",880,"D",,"A","01","D","2011","D","1","D",,"A",136351,"D",135510,"D",134665,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378175,49,0,"5","01","D","100","D",0.0525,"D",195000,"D",30,"D",1687,"D","3","D","4","D",,"A",,"A",610,"D",239,"D",240,"D",241,"D",838,"D",837,"D",836,"D",,"A","07","D","2010","D","1","D",,"A",191537,"D",191298,"D",191058,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378245,28,0,"5","01","D","100","D",0.0784,"D",49237,"D",15,"D",513,"D","3","D",,"A",,"A",,"A",47,"D",348,"D",350,"D",352,"D",118,"D",116,"D",114,"D",,"A","07","D","2000","D","1","D",,"A",18117,"D",17769,"D",17420,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378255,39,0,"5","01","D","100","D",0.0538,"D",146000,"D",30,"D",1136,"D","3","D",,"A",,"A",,"A",318,"D",218,"D",219,"D",220,"D",600,"D",599,"D",598,"D",,"A","06","D","2006","D","1","D",,"A",133916,"D",133699,"D",133480,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378305,48,0,"5","01","D","100","D",0.0784,"F",39094,"F",15,"F",370,"F",,"A",,"A",,"A",,"A",0,"F",182,"F",183,"F",184,"F",188,"F",187,"F",186,"F",,"A","01","F","2006","F","1","F",,"A",28785,"F",28603,"F",28419,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378515,33,0,"5","01","D","100","D",0.052,"D",67000,"D",30,"D",650,"D","3","D","4","D","5","D",,"A",282,"D",100,"D",100,"D",101,"D",268,"D",268,"D",267,"D",,"A","12","D","2006","D","1","D",,"A",61891,"D",61791,"D",61691,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378515,34,0,"5","01","D","100","D",0.0784,"D",8593,"D",6,"D",150,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",150,"D",150,"D",150,"D",,"A","10","D","2006","D","1","D",,"A",8593,"D",8593,"D",8593,"D","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20121",2378575,38,0,"5","01","D","100","D",0.045,"D",26000,"D",30,"D",132,"D",,"A",,"A",,"A",,"A",0,"D",131,"D",131,"D",132,"D",40,"D",40,"D",39,"D",,"A","10","D","1987","D","2","D",,"A",8299,"D",8198,"D",8097,"D","01","D","1","D",,"A",,"A",171,"D",171,"D",171,"D","1","D","2","D"
"20121",2378665,33,0,"5","01","D","100","D",0.05,"D",104999,"D",30,"D",965,"D","3","D","4","D",,"A",,"A",401,"D",143,"D",143,"D",144,"D",421,"D",421,"D",420,"D",,"A","05","D","2009","D","1","D",,"A",101108,"D",100965,"D",100822,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378745,60,0,"5","01","D","100","D",0.0625,"D",143000,"D",30,"D",1220,"D","3","D","4","D",,"A",,"A",340,"D",168,"D",169,"D",170,"D",712,"D",711,"D",710,"D",,"A","04","D","2008","D","1","D",,"A",136671,"D",136502,"D",136333,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378795,41,0,"5","01","D","100","D",0.0784,"D",6397,"D",3,"D",200,"D",,"A",,"A",,"A",,"A",0,"D",167,"D",168,"D",169,"D",33,"D",32,"D",31,"D",,"A","02","D","2011","D","1","D",,"A",5102,"D",4935,"D",4768,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378825,47,0,"5","01","D","100","D",0.06,"D",172000,"D",30,"D",1300,"D",,"B",,"B",,"B",,"B",269,"D",455,"D",457,"D",459,"D",576,"D",574,"D",572,"D",,"A","06","D","1995","D","1","D",,"A",115298,"D",114843,"D",114387,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378835,29,0,"5","01","D","100","D",0.05,"D",360000,"D",30,"D",2000,"D","3","D","4","D",,"A",,"A",67,"D",942,"D",946,"D",950,"D",991,"D",987,"D",983,"D",,"A","03","D","1996","D","1","D",,"A",237777,"D",236834,"D",235888,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2378845,79,0,"5","01","D","100","D",0.0784,"F",320000,"F",25,"F",2436,"F",,"A",,"A",,"A",,"A",0,"F",353,"F",355,"F",357,"F",647,"F",645,"F",643,"F",,"A","04","F","2000","F","2","F",,"A",241323,"F",240463,"F",239598,"F","01","D",,"A",,"A",,"A",1000,"F",1000,"F",1000,"F","1","D","2","D"
"20121",2378885,31,0,"5","01","D","100","D",0.0784,"D",599703,"T",30,"D",5009,"T","3","D","4","D",,"A",,"A",92,"D",641,"D",645,"D",650,"D",3767,"D",3763,"D",3758,"D",,"A","06","D","2006","D","1","D",,"A",539262,"T",538183,"T",534299,"T","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
