"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20121",2380055,49,0,"1","02","D","300","D","1","D",24900,"D",4000,"D","12","D","2011","D"
"20121",2380655,55,0,"1","01","D","200","D","1","D",156500,"D",11097,"D","11","D","2011","D"
"20121",2382085,52,0,"1","02","D","200","D","1","D",112000,"D",0,"D","10","D","2011","D"
"20121",2383335,26,0,"1","02","D","300","D","2","D",.,"A",.,"A","11","D","2011","D"
"20121",2385415,45,0,"1","01","D","500","D","2","D",.,"A",.,"A","11","D","2011","D"
"20121",2386985,49,0,"1","03","D","200","D","1","D",290000,"F",0,"D","11","D","2011","D"
"20121",2388285,34,0,"1","02","D","300","D","1","D",750000,"V",1000,"F","12","D","2011","D"
"20121",2388985,57,0,"1","02","D","300","D","1","D",750000,"T",4140,"F","01","D","2012","D"
"20121",2395065,58,0,"1","02","D","200","D","1","D",230000,"D",6000,"F","01","D","2012","D"
"20121",2398825,35,0,"1","02","D","500","D","1","D",150000,"T",350000,"D","02","D","2012","D"
"20121",2398995,61,0,"1","02","D","200","D","1","D",.,"A",.,"A","12","D","2011","D"
"20121",2400945,32,0,"1","03","D","300","D","1","D",225000,"F",500,"F","02","D","2011","D"
"20121",2403585,105,0,"1","02","D","300","D","3","D",.,"A",.,"A","01","D","2011","D"
"20121",2405195,36,0,"1","02","D","200","D","3","D",.,"A",.,"A","02","D","2011","D"
"20121",2408815,29,0,"1","03","D","500","D","3","D",.,"A",.,"A","02","D","2012","D"
"20121",2412134,33,0,"1","04","D","200","D","1","D",232000,"F",19321,"F","12","D","2011","D"
"20121",2413044,32,0,"1","02","D","400","D","2","D",.,"A",.,"A","12","D","2011","D"
"20121",2417354,38,0,"1","02","D","500","D","2","D",.,"A",.,"A","11","D","2011","D"
"20121",2422124,53,0,"1","02","D","300","D","1","D",.,"A",.,"A","11","D","2010","D"
"20121",2423544,39,0,"1","03","D","200","D","3","D",.,"A",.,"A","12","D","2011","D"
"20121",2426794,42,0,"1","02","D","200","D","3","D",.,"A",.,"A","11","D","2011","D"
"20121",2426854,32,0,"1","02","D","200","D","1","D",232000,"D",19321,"D","01","D","2012","D"
"20121",2428874,52,0,"1","02","D","200","D","1","D",.,"A",.,"A","01","D","2010","D"
"20121",2429004,27,0,"1","01","D","200","D","1","D",10000,"D",3300,"D","12","D","2011","D"
"20121",2430604,38,0,"1","02","D","500","D","3","D",.,"A",.,"A","01","D","2011","D"
"20121",2432034,47,0,"1","02","D","500","D","3","D",.,"A",.,"A","03","D","2005","D"
"20121",2436014,44,0,"1","04","D","500","D","3","D",.,"A",.,"A","02","D","2012","D"
