"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_"
"20121",2377225,42,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",8061,"2","T","D","2","D","2","D","2","D"
"20121",2377335,57,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2700,"2","D","D","2","D","2","D","2","D"
"20121",2377535,34,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3600,"2","D","D","2","D","2","D","2","D"
"20121",2377555,31,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2550,"2","D","D","2","D","2","D","2","D"
"20121",2377575,62,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",5358,"2","D","D","2","D","2","D","2","D"
"20121",2377715,32,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2313,"2","D","D","2","D","2","D","2","D"
"20121",2377755,23,0,"1","1","D","1","D",,"C","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",576,"2","D","D","2","D","2","D","2","D"
"20121",2377925,49,0,"1","1","D","2","D","1","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3240,"2","D","D","2","D","2","D","2","D"
"20121",2377945,18,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",240,"2","D","D","2","D","2","D","2","D"
"20121",2378075,20,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",381,"2","D","D","2","D","2","D","2","D"
"20121",2378085,17,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1821,"2","D","D","2","D","2","D","1","D"
"20121",2378115,39,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2700,"2","D","D","2","D","2","D","2","D"
"20121",2378165,49,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3300,"2","D","D","2","D","2","D","2","D"
"20121",2378365,28,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3060,"2","F","D","2","D","2","D","2","D"
"20121",2378445,28,0,"1","1","D","1","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",431,"2","D","D","2","D","2","D","2","D"
"20121",2378525,26,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","1","D",450,"D",.,"A",0,"D",.,,"A","A",,"A",,"A",,"A"
"20121",2378685,36,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",8061,"2","T","D","2","D","2","D","2","D"
"20121",2378715,27,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2378725,19,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","1","D",.,"C",.,"A",423,"F",0,"2","D","D","2","D","2","D","2","D"
"20121",2378735,28,0,"1","1","D","1","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",534,"2","D","D","2","D","2","D","2","D"
"20121",2378875,23,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2205,"2","D","D","2","D","2","D","2","D"
"20121",2378905,34,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1875,"2","D","D","2","D","2","D","2","D"
"20121",2378975,20,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",224,"2","F","D","2","D","2","D","2","D"
"20121",2378985,22,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1680,"2","D","D","2","D","2","D","2","D"
"20121",2378995,18,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",366,"2","D","D","2","D","2","D","2","D"
"20121",2379135,30,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1104,"2","D","D","2","D","2","D","2","D"
"20121",2379145,27,0,"1","1","D","2","D","1","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1785,"2","D","D","2","D","2","D","2","D"
"20121",2379155,56,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1533,"2","D","D","2","D","2","D","2","D"
"20121",2379175,19,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1575,"2","D","D","2","D","2","D","2","D"
"20121",2379185,36,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",645,"2","D","D","2","D","2","D","2","D"
"20121",2379245,56,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",8061,"2","T","D","2","D","2","D","2","D"
"20121",2379255,48,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2910,"2","D","D","2","D","2","D","2","D"
"20121",2379315,23,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",390,"2","D","D","2","D","2","D","2","D"
"20121",2379505,33,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2340,"2","D","D","1","D","2","D","2","D"
"20121",2379605,22,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","1","D",682,"F",.,"A",2046,"F",0,"1","D","D","2","D","2","D","2","D"
"20121",2379675,24,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",621,"2","D","D","2","D","2","D","1","D"
"20121",2379735,53,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","1","D",1000,"F",.,"A",3000,"F",.,,"A","A",,"A",,"A",,"A"
"20121",2379775,38,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",0,"2","D","D","2","D","2","D","2","D"
"20121",2379795,31,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2379825,24,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2379865,28,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3376,"2","D","D","2","D","2","D","2","D"
"20121",2379935,54,0,"1","1","D","1","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4950,"2","D","D","2","D","2","D","2","D"
"20121",2379975,41,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",0.05,"D",.,"A",3564,"2","D","D","2","D","2","D","2","D"
"20121",2379985,32,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1980,"2","D","D","2","D","2","D","2","D"
"20121",2380025,25,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3060,"2","D","D","2","D","2","D","2","D"
"20121",2380065,47,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D"
"20121",2380095,24,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1278,"2","D","D","2","D","2","D","2","D"
"20121",2380195,26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",0.3,"D",.,"A",2100,"2","D","D","2","D","2","D","2","D"
