"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20121",2377455,63,0,"1",1,"D",.,"H",,"A"
"20121",2377455,63,1,"1",.,"A",317,"E","100","D"
"20121",2377455,63,2,"1",.,"A",83,"E","110","D"
"20121",2378285,132,0,"1",1,"D",.,"H",,"A"
"20121",2378285,132,1,"1",.,"A",8,"E","100","D"
"20121",2378285,132,2,"1",.,"A",2,"E","110","D"
"20121",2381005,33,0,"1",1,"D",.,"H",,"A"
"20121",2381005,33,1,"1",.,"A",155,"E","100","D"
"20121",2381005,33,2,"1",.,"A",53,"E","110","D"
"20121",2381005,33,3,"1",.,"A",88,"E","120","D"
"20121",2381005,33,4,"1",.,"A",8,"E","140","D"
"20121",2381005,33,5,"1",.,"A",862,"E","150","D"
"20121",2381005,33,6,"1",.,"A",95,"E","160","D"
"20121",2381005,33,7,"1",.,"A",10,"E","170","D"
"20121",2381005,33,8,"1",.,"A",129,"E","190","D"
"20121",2381275,30,0,"1",1,"D",.,"H",,"A"
"20121",2381275,30,1,"1",.,"A",34,"E","100","D"
"20121",2381275,30,2,"1",.,"A",16,"E","110","D"
"20121",2381345,27,0,"1",1,"D",.,"H",,"A"
"20121",2381345,27,1,"1",.,"A",20,"E","100","D"
"20121",2381345,27,2,"1",.,"A",14,"E","110","D"
"20121",2381345,27,3,"1",.,"A",6,"E","120","D"
"20121",2381345,27,4,"1",.,"A",120,"E","150","D"
"20121",2381345,27,5,"1",.,"A",72,"E","160","D"
"20121",2381345,27,6,"1",.,"A",3,"E","170","D"
"20121",2381345,27,7,"1",.,"A",15,"E","190","D"
"20121",2382415,80,0,"1",1,"D",.,"H",,"A"
"20121",2382415,80,1,"1",.,"A",21,"E","100","D"
"20121",2382415,80,2,"1",.,"A",7,"E","110","D"
"20121",2382415,80,3,"1",.,"A",17,"E","120","D"
"20121",2382415,80,4,"1",.,"A",1,"E","140","D"
"20121",2382415,80,5,"1",.,"A",124,"E","150","D"
"20121",2382415,80,6,"1",.,"A",13,"E","160","D"
"20121",2382415,80,7,"1",.,"A",1,"E","170","D"
"20121",2382415,80,8,"1",.,"A",18,"E","190","D"
"20121",2382415,80,9,"1",.,"A",17,"E","200","D"
"20121",2382415,80,10,"1",.,"A",10,"E","210","D"
"20121",2382415,80,11,"1",.,"A",21,"E","220","D"
"20121",2383195,79,0,"1",1,"D",.,"H",,"A"
"20121",2383195,79,1,"1",.,"A",20,"E","100","D"
"20121",2383195,79,2,"1",.,"A",6,"E","110","D"
"20121",2383195,79,3,"1",.,"A",10,"E","120","D"
"20121",2383195,79,4,"1",.,"A",1,"E","140","D"
"20121",2383195,79,5,"1",.,"A",101,"E","150","D"
"20121",2383195,79,6,"1",.,"A",11,"E","160","D"
"20121",2383195,79,7,"1",.,"A",1,"E","170","D"
"20121",2383195,79,8,"1",.,"A",15,"E","190","D"
"20121",2384425,104,0,"1",5,"D",.,"H",,"A"
"20121",2384425,104,1,"1",.,"A",82,"E","100","D"
"20121",2384425,104,2,"1",.,"A",28,"E","110","D"
"20121",2385735,44,0,"1",1,"D",.,"H",,"A"
"20121",2385735,44,1,"1",.,"A",97,"E","100","D"
"20121",2385735,44,2,"1",.,"A",25,"E","110","D"
"20121",2385735,44,3,"1",.,"A",76,"E","120","D"
"20121",2385735,44,4,"1",.,"A",68,"E","130","D"
"20121",2385735,44,5,"1",.,"A",31,"E","140","D"
"20121",2385735,44,6,"1",.,"A",430,"E","150","D"
"20121",2385735,44,7,"1",.,"A",12,"E","160","D"
"20121",2385735,44,8,"1",.,"A",261,"E","190","D"
"20121",2386415,68,0,"1",1,"D",.,"H",,"A"
"20121",2386415,68,1,"1",.,"A",393,"E","120","D"
"20121",2386415,68,2,"1",.,"A",12,"E","140","D"
"20121",2386415,68,3,"1",.,"A",1251,"E","150","D"
"20121",2386415,68,4,"1",.,"A",52,"E","160","D"
"20121",2386415,68,5,"1",.,"A",244,"E","170","D"
"20121",2386415,68,6,"1",.,"A",139,"E","190","D"
"20121",2386415,68,7,"1",.,"A",150,"E","200","D"
"20121",2386415,68,8,"1",.,"A",91,"E","210","D"
"20121",2386415,68,9,"1",.,"A",168,"E","220","D"
