"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV"
"20121",2377165,67,0,"1",2600,"D",650,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D",.,"A"
"20121",2377175,61,0,"1",1950,"D",325,"D",.,"A",195,"D",0,"D",.,"A",.,"A",.,"A",1625,"D","2","D",60,"D"
"20121",2377225,47,0,"1",520,"D",130,"D",.,"A",91,"D",84,"D",.,"A",.,"A",.,"A",390,"D","2","D",36,"D"
"20121",2377235,37,0,"1",1300,"D",520,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D",.,"A"
"20121",2377265,40,0,"1",1300,"D",260,"D",.,"A",780,"D",60,"D",.,"A",.,"A",.,"A",1040,"D","2","D",60,"D"
"20121",2377275,64,0,"1",780,"D",0,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D",.,"A"
"20121",2377335,71,0,"1",1300,"D",0,"D",.,"A",260,"D",60,"D",.,"A",.,"A",.,"A",1300,"D","2","D",60,"D"
"20121",2377345,65,0,"1",2730,"D",390,"D",.,"A",650,"D",0,"D",.,"A",.,"A",.,"A",2340,"D","2","D",180,"D"
"20121",2377355,32,0,"1",1950,"D",325,"D",.,"A",585,"D",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D",.,"A"
"20121",2377365,55,0,"1",780,"D",65,"D",.,"A",520,"D",90,"D",.,"A",.,"A",.,"A",715,"D","2","D",120,"D"
"20121",2377385,45,0,"1",1560,"D",260,"D",.,"A",0,"D",.,"A",390,"D",1560,"D",.,"A",1300,"D","2","D",.,"A"
"20121",2377405,52,0,"1",325,"D",78,"D",.,"A",780,"D",0,"D",.,"A",.,"A",.,"A",247,"D","2","D",30,"D"
"20121",2377455,75,0,"1",910,"D",260,"D",260,"D",1300,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A"
"20121",2377475,51,0,"1",520,"D",104,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",416,"D","2","D",.,"A"
"20121",2377485,62,0,"1",1495,"D",0,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1495,"D","2","D",.,"A"
"20121",2377505,46,0,"1",520,"D",130,"D",130,"D",260,"D",.,"A",.,"A",.,"A",.,"A",390,"D","2","D",.,"A"
"20121",2377535,41,0,"1",1950,"D",420,"F",260,"D",325,"D",.,"A",.,"A",.,"A",.,"A",1634,"F","2","D",.,"A"
"20121",2377555,40,0,"1",1300,"D",390,"D",.,"A",1040,"D",60,"D",.,"A",.,"A",.,"A",910,"D","2","D",60,"D"
