NEWID,SEQNO,INTERI,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR
04420324,1,4,0,40,D,,A,0,D,20212
04420374,1,4,0,500,D,250,D,0,D,20212
04420404,2,4,0,1000,D,50,F,0,D,20212
04420424,6,4,0,50,D,0,D,0,D,20212
04420434,1,4,0,500,D,,A,250,D,20212
04420444,1,4,0,0,D,200,D,150,D,20212
04420484,1,4,0,300,D,300,D,0,D,20212
04420494,2,4,0,75,D,,A,0,D,20212
04420504,2,4,0,100,D,,A,0,D,20212
04420514,1,4,0,0,D,,A,0,D,20212
04420544,1,4,0,100,D,,A,0,D,20212
04420564,2,4,0,0,D,,A,0,D,20212
04420574,3,4,0,0,D,,A,0,D,20212
04420594,1,4,0,180,D,,A,100,D,20212
04420604,2,4,0,300,D,50,D,0,D,20212
04420624,5,4,0,96,D,,A,0,D,20212
04420644,1,4,0,360,D,,A,0,D,20212
04420674,1,4,0,0,D,75,D,0,D,20212
04420704,3,4,0,200,D,,A,0,D,20212
04420724,1,4,0,0,D,,A,0,D,20212
04420744,1,4,0,35,D,72,D,0,D,20212
04420754,1,4,0,300,D,200,D,0,D,20212
04420814,1,4,0,0,D,,A,0,D,20212
04420834,2,4,0,80,D,30,D,0,D,20212
04420854,4,4,0,300,D,400,F,0,D,20212
04420914,2,4,0,100,D,200,D,0,D,20212
04420984,2,4,0,30,D,,A,0,D,20212
04421004,2,4,0,0,D,,A,0,D,20212
04421024,3,4,0,0,D,,A,0,D,20212
04421044,1,4,0,750,D,,A,150,D,20212
04421084,1,4,0,0,D,,A,0,D,20212
04421094,1,4,0,0,D,45,D,170,D,20212
04421114,1,4,0,0,D,,A,0,D,20212
04421124,1,4,0,130,D,,A,0,D,20212
04421134,2,4,0,80,D,,A,100,D,20212
04421194,4,4,0,100,D,100,D,0,D,20212
04421214,3,4,0,200,D,,A,0,D,20212
04421234,3,4,0,347,D,251,D,0,D,20212
04421264,4,4,0,250,D,100,D,0,D,20212
04421284,1,4,0,300,D,,A,0,D,20212
04421304,1,4,0,300,D,0,D,150,D,20212
04421344,1,4,0,0,D,,A,0,D,20212
04421354,2,4,0,450,D,,A,0,D,20212
04421374,1,4,0,251,D,314,D,69,D,20212
04421384,1,4,0,0,D,,A,0,D,20212
04421464,1,4,0,250,D,200,D,0,D,20212
04421494,1,4,0,200,D,,A,0,D,20212
04421534,5,4,0,0,D,400,D,0,D,20212
04421554,1,4,0,1000,D,100,F,0,D,20212
04421564,1,4,0,0,D,,A,0,D,20212
04421574,2,4,0,0,D,,A,0,D,20212
04421584,1,4,0,0,D,0,D,0,D,20212
04421614,2,4,0,0,D,,A,0,D,20212
04421624,2,4,0,375,D,,A,0,D,20212
04421634,1,4,0,200,D,100,D,0,D,20212
04421644,1,4,0,40,F,,A,0,D,20212
04421664,5,4,0,278,D,,A,0,D,20212
04421674,4,4,0,100,D,300,D,0,D,20212
04421784,1,4,0,0,D,,A,0,D,20212
04421794,5,4,0,200,D,700,D,0,D,20212
04421804,4,4,0,400,D,200,D,0,D,20212
04421834,3,4,0,130,D,,A,40,D,20212
04421864,2,4,0,60,D,140,D,0,D,20212
04421874,2,4,0,100,D,,A,50,D,20212
04421904,1,4,0,145,D,,A,0,D,20212
04421914,2,4,0,0,D,750,D,0,D,20212
04421934,2,4,0,300,D,,A,0,D,20212
04421944,1,4,0,0,D,,A,0,D,20212
04421954,4,4,0,100,D,,A,50,D,20212
04421974,1,4,0,50,D,100,D,0,D,20212
04421984,2,4,0,100,D,200,D,0,D,20212
04422014,1,4,0,125,D,,A,0,D,20212
04422024,2,4,0,180,D,,A,150,D,20212
04422034,1,4,0,0,D,,A,0,D,20212
04422044,2,4,0,25,D,100,D,10,D,20212
04422064,3,4,0,200,D,,A,0,D,20212
04422094,1,4,0,0,D,500,D,0,D,20212
04422134,1,4,0,135,D,,A,0,D,20212
04422164,1,4,0,0,D,0,D,0,D,20212
04422184,5,4,0,550,D,,A,200,D,20212
04422264,5,4,0,20,D,200,D,0,D,20212
04422274,2,4,0,250,D,,A,0,D,20212
04422314,3,4,0,300,D,,A,0,D,20212
04422324,6,4,0,1243,D,,A,0,D,20212
04422364,2,4,0,0,D,,A,0,D,20212
04422414,1,4,0,0,D,,A,0,D,20212
04422434,1,4,0,79,D,,A,0,D,20212
04422444,4,4,0,0,D,200,D,0,D,20212
04422484,1,4,0,0,D,,A,0,D,20212
04422504,3,4,0,20,D,140,D,80,D,20212
04422534,1,4,0,0,D,,A,0,D,20212
04422544,1,4,0,500,D,,A,0,D,20212
04422594,1,4,0,0,D,,A,0,D,20212
04422604,2,4,0,0,D,0,D,0,D,20212
04422634,1,4,0,40,D,,A,0,D,20212
04422654,2,4,0,150,D,,A,0,D,20212
04422724,1,4,0,0,D,,A,0,D,20212
04422734,1,4,0,0,D,,A,0,D,20212
04422744,1,4,0,280,F,,A,0,D,20212
04422764,4,4,0,60,D,,A,0,D,20212
04422804,5,4,0,194,D,,A,0,D,20212
04422834,2,4,0,0,D,,A,0,D,20212
04422844,3,4,0,225,D,,A,0,D,20212
04422864,6,4,0,300,D,,A,100,D,20212
04422874,2,4,0,200,D,,A,0,D,20212
04422884,1,4,0,50,D,,A,0,D,20212
04422894,1,4,0,368,D,,A,0,D,20212
04423024,1,4,0,200,D,,A,0,D,20212
04423044,3,4,0,50,D,,A,0,D,20212
04423094,2,4,0,60,D,,A,0,D,20212
04423114,1,4,0,0,D,,A,0,D,20212
04423144,1,4,0,250,D,,A,0,D,20212
04423204,1,4,0,50,F,150,F,200,F,20212
04423224,1,4,0,0,D,,A,0,D,20212
04423274,1,4,0,300,D,900,D,0,D,20212
04423284,2,4,0,103,D,,A,0,D,20212
04423294,1,4,0,1000,F,,A,100,F,20212
04423304,1,4,0,230,D,50,D,0,D,20212
04423344,4,4,0,30,D,,A,0,D,20212
04423354,2,4,0,130,D,,A,0,D,20212
04423364,1,4,0,0,D,,A,0,D,20212
04423424,4,4,0,60,D,,A,0,D,20212
04423434,3,4,0,625,D,230,D,0,D,20212
04423454,1,4,0,200,D,200,D,0,D,20212
04423464,6,4,0,400,D,700,D,0,D,20212
04423474,3,4,0,900,D,,A,0,D,20212
04423484,1,4,0,300,D,,A,0,D,20212
04423494,3,4,0,400,D,,A,0,D,20212
04423514,1,4,0,60,D,,A,0,D,20212
04423554,1,4,0,0,D,0,D,0,D,20212
04423624,1,4,0,150,D,0,D,0,D,20212
04423664,1,4,0,0,D,,A,0,D,20212
04423674,2,4,0,67,D,,A,0,D,20212
04423744,2,4,0,500,D,,A,0,D,20212
04423764,1,4,0,156,D,,A,0,D,20212
04423824,1,4,0,0,D,200,D,0,D,20212
04423884,2,4,0,0,D,,A,50,D,20212
04423894,2,4,0,0,D,,A,0,D,20212
04423904,4,4,0,600,D,,A,0,D,20212
04423934,1,4,0,0,D,,A,0,D,20212
04423954,5,4,0,250,D,,A,0,D,20212
04423994,3,4,0,100,D,,A,0,D,20212
04424024,1,4,0,70,D,110,F,1000,F,20212
04424104,2,4,0,100,D,50,D,30,D,20212
04424154,1,4,0,0,D,,A,0,D,20212
04424184,1,4,0,0,D,,A,0,D,20212
04424194,1,4,0,0,D,,A,0,D,20212
04424214,1,4,0,0,D,,A,0,D,20212
04424224,1,4,0,400,D,,A,0,D,20212
04424234,3,4,0,0,D,,A,0,D,20212
04424304,4,4,0,500,D,,A,0,D,20212
04424334,1,4,0,900,D,,A,0,D,20212
04424344,1,4,0,0,D,,A,0,D,20212
04424354,1,4,0,40,D,,A,0,D,20212
04424364,1,4,0,200,D,400,D,0,D,20212
04424384,3,4,0,0,D,,A,0,D,20212
04424404,5,4,0,0,D,100,D,0,D,20212
04424424,1,4,0,0,D,,A,0,D,20212
04424454,1,4,0,100,D,135,D,0,D,20212
04424484,3,4,0,600,D,200,D,25,D,20212
04424504,2,4,0,100,D,,A,123,D,20212
04424534,1,4,0,0,D,,A,0,D,20212
04424544,3,4,0,500,D,,A,400,D,20212
04424554,4,4,0,250,D,700,D,0,D,20212
04424574,2,4,0,350,D,,A,0,D,20212
04424594,1,4,0,65,D,,A,500,D,20212
04424604,1,4,0,477,F,,A,270,F,20212
04424634,2,4,0,25,D,,A,0,D,20212
04424654,1,4,0,10,D,,A,0,D,20212
04424674,1,4,0,0,D,,A,0,D,20212
04424684,2,4,0,400,D,200,D,0,D,20212
04424694,1,4,0,0,D,,A,0,D,20212
04424714,1,4,0,0,D,,A,0,D,20212
04424754,2,4,0,200,D,300,D,0,D,20212
04424784,3,4,0,0,D,,A,0,D,20212
04424814,1,4,0,0,D,,A,0,D,20212
04424844,3,4,0,300,D,200,D,0,D,20212
04424864,1,4,0,0,D,,A,0,D,20212
04424874,2,4,0,150,D,,A,0,D,20212
04424894,1,4,0,0,D,,A,0,D,20212
04424904,1,4,0,150,D,,A,0,D,20212
04424914,1,4,0,50,D,,A,0,D,20212
04424964,6,4,0,350,D,,A,180,D,20212
04424974,2,4,0,200,D,,A,25,D,20212
04424984,4,4,0,213,D,,A,0,D,20212
04425024,1,4,0,150,D,,A,0,D,20212
04425034,8,4,0,450,D,,A,0,D,20212
04425044,2,4,0,200,D,0,D,0,D,20212
04425134,1,4,0,99,D,,A,0,D,20212
04425144,4,4,0,150,D,,A,0,D,20212
04425154,1,4,0,0,D,,A,0,D,20212
04425174,1,4,0,240,D,,A,0,D,20212
04425184,1,4,0,100,D,0,D,0,D,20212
04425194,1,4,0,0,D,0,D,0,D,20212
04425234,2,4,0,0,D,,A,0,D,20212
04425244,1,4,0,200,D,,A,0,D,20212
04425334,3,4,0,300,D,,A,0,D,20212
04425374,2,4,0,300,D,,A,0,D,20212
04425414,3,4,0,200,D,18,D,22,D,20212
04425424,1,4,0,0,D,,A,0,D,20212
04425514,2,4,0,500,D,,A,0,D,20212
04425544,1,4,0,300,D,,A,0,D,20212
04425554,1,4,0,0,D,150,D,0,D,20212
04425584,2,4,0,0,D,,A,0,D,20212
04425594,1,4,0,1500,D,,A,0,D,20212
04425634,2,4,0,0,D,,A,0,D,20212
04425644,1,4,0,585,D,,A,0,D,20212
04425654,1,4,0,50,D,100,D,0,D,20212
04425704,1,4,0,400,D,300,D,0,D,20212
04425754,1,4,0,0,D,0,D,0,D,20212
04425764,1,4,0,0,D,,A,0,D,20212
04425774,2,4,0,400,D,,A,0,D,20212
04425864,1,4,0,0,D,0,D,0,D,20212
04425874,4,4,0,500,D,600,D,0,D,20212
04425904,2,4,0,360,D,,A,0,D,20212
04425944,2,4,0,500,D,,A,400,D,20212
04425964,3,4,0,400,D,,A,0,D,20212
04426024,2,4,0,0,D,0,D,0,D,20212
04426034,1,4,0,0,D,,A,0,D,20212
04426044,3,4,0,0,D,,A,0,D,20212
04426074,1,4,0,130,D,,A,0,D,20212
04426104,1,4,0,100,D,100,D,0,D,20212
04426124,1,4,0,0,D,,A,0,D,20212
04426174,1,4,0,0,D,,A,0,D,20212
04426234,1,4,0,100,D,,A,0,D,20212
04426244,1,4,0,0,D,,A,0,D,20212
04426254,2,4,0,0,D,,A,0,D,20212
04426274,3,4,0,300,D,,A,0,D,20212
04426344,1,4,0,300,D,400,D,0,D,20212
04426374,2,4,0,40,D,,A,0,D,20212
04426404,2,4,0,200,D,,A,0,D,20212
04426504,1,4,0,0,D,,A,0,D,20212
04426554,1,4,0,0,D,,A,0,D,20212
04426584,1,4,0,360,D,0,D,90,D,20212
04426594,3,4,0,0,D,0,D,30,D,20212
04426684,1,4,0,0,D,,A,0,D,20212
04426764,2,4,0,112,D,,A,0,D,20212
04426844,1,4,0,0,D,,A,0,D,20212
04426944,1,4,0,500,D,,A,0,D,20212
04426974,1,4,0,0,D,,A,0,D,20212
04426984,1,4,0,0,D,,A,0,D,20212
04427004,1,4,0,100,D,,A,50,D,20212
04427044,1,4,0,100,D,300,D,0,D,20212
04427054,1,4,0,0,D,,A,0,D,20212
04427084,1,4,0,0,D,,A,0,D,20212
04427144,3,4,0,100,D,,A,0,D,20212
04427164,1,4,0,300,D,,A,0,D,20212
04427174,1,4,0,150,D,,A,0,D,20212
04427194,1,4,0,300,D,300,D,100,D,20212
04427244,1,4,0,0,D,,A,0,D,20212
04427254,1,4,0,0,D,0,D,0,D,20212
04427264,3,4,0,125,D,,A,0,D,20212
04427274,1,4,0,0,D,0,D,0,D,20212
04427324,1,4,0,5000,D,,A,0,D,20212
04427354,3,4,0,0,D,,A,0,D,20212
04427374,2,4,0,450,D,,A,0,D,20212
04427414,1,4,0,150,D,,A,0,D,20212
04427434,4,4,0,600,D,,A,0,D,20212
04427454,1,4,0,140,D,,A,0,D,20212
04427484,1,4,0,1000,D,400,D,0,D,20212
04427504,1,4,0,0,D,,A,0,D,20212
04427514,1,4,0,0,D,,A,0,D,20212
04427534,3,4,0,60,D,,A,0,D,20212
04427544,4,4,0,0,D,,A,0,D,20212
04427564,12,4,0,500,D,500,D,0,D,20212
04427594,3,4,0,650,D,,A,150,D,20212
04427634,1,4,0,200,D,200,D,0,D,20212
04427684,2,4,0,0,D,,A,0,D,20212
04427744,1,4,0,0,D,,A,0,D,20212
04427794,3,4,0,0,D,,A,0,D,20212
04427844,1,4,0,300,D,,A,0,D,20212
04427854,1,4,0,200,F,100,F,0,D,20212
04427934,4,4,0,50,D,,A,0,D,20212
04427954,3,4,0,70,D,200,D,0,D,20212
04427964,4,4,0,35,D,,A,0,D,20212
04427974,6,4,0,470,D,,A,0,D,20212
04428034,3,4,0,200,F,,A,0,D,20212
04428064,2,4,0,0,D,200,D,0,D,20212
04428104,3,4,0,0,D,,A,0,D,20212
04428144,2,4,0,0,D,,A,0,D,20212
04428184,1,4,0,100,D,50,D,0,D,20212
04428194,1,4,0,0,D,,A,0,D,20212
04428224,1,4,0,0,D,,A,0,D,20212
04428254,1,4,0,0,D,,A,0,D,20212
04428274,4,4,0,500,D,,A,0,D,20212
04428284,1,4,0,0,D,,A,0,D,20212
04428294,1,4,0,200,D,,A,0,D,20212
04428324,1,4,0,250,D,,A,0,D,20212
04428344,1,4,0,0,D,0,D,0,D,20212
04428374,1,4,0,0,D,,A,0,D,20212
04428434,1,4,0,40,D,,A,0,D,20212
04428504,2,4,0,500,D,,A,0,D,20212
