PURCHASED,NEWID,UCC,AGE_REF,BLS_URBN,EDUC_REF,FAM_TYPE,HRSPRWK1,FAM_SIZE,FINCBEFX
0,4882432,20510,18.0,1.0,12.0,8.0,0.0,1.0,11000.0
0,4718602,20510,23.0,1.0,15.0,8.0,40.0,1.0,10000.0
0,4882461,20510,38.0,1.0,12.0,7.0,0.0,2.0,22104.0
0,4882462,20510,38.0,1.0,12.0,7.0,0.0,2.0,22104.0
0,4784161,20510,33.0,1.0,15.0,3.0,45.0,4.0,371792.0
0,4784162,20510,33.0,1.0,15.0,3.0,45.0,4.0,371792.0
0,4980771,20510,67.0,2.0,16.0,4.0,0.0,4.0,120000.0
0,4980772,20510,67.0,2.0,16.0,4.0,0.0,4.0,120000.0
0,4882471,20510,50.0,1.0,12.0,9.0,39.0,7.0,74200.0
0,4882472,20510,50.0,1.0,12.0,9.0,39.0,7.0,74200.0
0,4784171,20510,47.0,1.0,15.0,3.0,0.0,5.0,200015.0
0,4784182,20510,40.0,1.0,15.0,2.0,40.0,4.0,178020.0
0,4882491,20510,24.0,1.0,15.0,8.0,70.0,1.0,60000.0
0,4882492,20510,24.0,1.0,15.0,8.0,70.0,1.0,60000.0
0,4784201,20510,50.0,1.0,11.0,4.0,0.0,5.0,24000.0
0,4784202,20510,50.0,1.0,11.0,4.0,0.0,5.0,24000.0
0,4980832,20510,40.0,1.0,11.0,3.0,70.0,5.0,41200.0
0,4718691,20510,37.0,1.0,13.0,1.0,45.0,2.0,140000.0
0,4718692,20510,37.0,1.0,13.0,1.0,45.0,2.0,140000.0
0,4784231,20510,74.0,1.0,13.0,8.0,0.0,1.0,23530.0
0,4980841,20510,65.0,1.0,13.0,8.0,56.0,1.0,64000.0
0,4980842,20510,65.0,1.0,13.0,8.0,56.0,1.0,64000.0
0,4882542,20510,56.0,1.0,13.0,7.0,60.0,2.0,19297.0
0,4882551,20510,55.0,1.0,15.0,1.0,40.0,2.0,87200.0
0,4980861,20510,56.0,1.0,15.0,8.0,40.0,1.0,43000.0
0,4980862,20510,56.0,1.0,15.0,8.0,40.0,1.0,43000.0
0,4718721,20510,74.0,1.0,12.0,1.0,0.0,2.0,18582.0
0,4718741,20510,44.0,1.0,14.0,8.0,40.0,1.0,33400.0
